,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,B1,11/08/01,Gent,St Truiden,4,2,H,2,1,H
1,B1,11/08/01,Anderlecht,Antwerp,3,0,H,0,0,D
2,B1,11/08/01,Genk,Beveren,5,1,H,1,1,D
3,B1,11/08/01,Lierse,Lokeren,1,1,D,1,1,D
4,B1,11/08/01,Lommel,Molenbeek,1,0,H,0,0,D
5,B1,12/08/01,Aalst,Mouscron,1,0,H,1,0,H
6,B1,12/08/01,Charleroi,Standard,0,0,D,0,0,D
7,B1,12/08/01,Club Brugge,Westerlo,4,2,H,4,1,H
8,B1,12/08/01,Germinal,Louvieroise,8,2,H,3,1,H
9,B1,17/08/01,Mouscron,Gent,0,1,A,0,1,A
10,B1,18/08/01,Antwerp,Genk,3,0,H,2,0,H
11,B1,18/08/01,Beveren,Lierse,1,1,D,0,1,A
12,B1,18/08/01,Louvieroise,Anderlecht,1,3,A,1,1,D
13,B1,18/08/01,Molenbeek,Charleroi,0,1,A,0,0,D
14,B1,18/08/01,St Truiden,Lommel,4,3,H,1,2,A
15,B1,18/08/01,Standard,Germinal,3,0,H,2,0,H
16,B1,18/08/01,Westerlo,Aalst,0,1,A,0,0,D
17,B1,19/08/01,Lokeren,Club Brugge,0,1,A,0,1,A
18,B1,25/08/01,Gent,Westerlo,4,1,H,2,0,H
19,B1,25/08/01,Charleroi,St Truiden,0,3,A,0,1,A
20,B1,25/08/01,Lierse,Antwerp,2,1,H,1,0,H
21,B1,25/08/01,Lommel,Mouscron,3,2,H,2,1,H
22,B1,26/08/01,Aalst,Lokeren,2,1,H,1,0,H
23,B1,26/08/01,Club Brugge,Beveren,6,1,H,3,1,H
24,B1,26/08/01,Germinal,Anderlecht,1,1,D,0,0,D
25,B1,26/08/01,Genk,Louvieroise,5,1,H,2,0,H
26,B1,26/08/01,Standard,Molenbeek,2,1,H,2,1,H
27,B1,07/09/01,Mouscron,Charleroi,0,1,A,0,1,A
28,B1,08/09/01,Anderlecht,Genk,3,3,D,1,1,D
29,B1,08/09/01,Beveren,Aalst,0,4,A,0,1,A
30,B1,08/09/01,Louvieroise,Lierse,0,0,D,0,0,D
31,B1,08/09/01,St Truiden,Standard,1,1,D,1,0,H
32,B1,08/09/01,Westerlo,Lommel,6,0,H,1,0,H
33,B1,09/09/01,Antwerp,Club Brugge,1,2,A,1,0,H
34,B1,09/09/01,Lokeren,Gent,0,1,A,0,0,D
35,B1,09/09/01,Molenbeek,Germinal,2,2,D,1,1,D
36,B1,15/09/01,Gent,Beveren,2,1,H,0,1,A
37,B1,15/09/01,Germinal,Genk,1,1,D,0,1,A
38,B1,15/09/01,Lierse,Anderlecht,2,0,H,0,0,D
39,B1,15/09/01,Lommel,Lokeren,3,4,A,1,2,A
40,B1,15/09/01,Molenbeek,St Truiden,1,2,A,1,2,A
41,B1,16/09/01,Aalst,Antwerp,0,0,D,0,0,D
42,B1,16/09/01,Charleroi,Westerlo,4,2,H,3,0,H
43,B1,16/09/01,Club Brugge,Louvieroise,2,1,H,0,1,A
44,B1,16/09/01,Standard,Mouscron,2,1,H,1,0,H
45,B1,22/09/01,Genk,Lierse,4,2,H,2,1,H
46,B1,22/09/01,Louvieroise,Aalst,1,3,A,1,0,H
47,B1,22/09/01,Mouscron,Molenbeek,4,1,H,1,0,H
48,B1,22/09/01,St Truiden,Germinal,2,2,D,0,1,A
49,B1,23/09/01,Antwerp,Gent,2,3,A,1,0,H
50,B1,23/09/01,Beveren,Lommel,0,2,A,0,1,A
51,B1,29/09/01,Gent,Louvieroise,2,1,H,2,1,H
52,B1,29/09/01,Charleroi,Beveren,1,1,D,1,0,H
53,B1,29/09/01,Germinal,Lierse,2,0,H,0,0,D
54,B1,29/09/01,Lommel,Antwerp,2,2,D,2,1,H
55,B1,29/09/01,Molenbeek,Westerlo,0,1,A,0,1,A
56,B1,29/09/01,St Truiden,Mouscron,1,2,A,0,0,D
57,B1,30/09/01,Aalst,Anderlecht,1,5,A,1,3,A
58,B1,30/09/01,Club Brugge,Genk,1,2,A,0,1,A
59,B1,30/09/01,Standard,Lokeren,0,2,A,0,1,A
60,B1,09/10/01,Louvieroise,Lommel,0,0,D,0,0,D
61,B1,10/10/01,Anderlecht,Gent,2,0,H,0,0,D
62,B1,10/10/01,Antwerp,Charleroi,2,0,H,1,0,H
63,B1,10/10/01,Beveren,Standard,1,1,D,1,0,H
64,B1,10/10/01,Genk,Aalst,5,0,H,3,0,H
65,B1,10/10/01,Lierse,Club Brugge,0,2,A,0,2,A
66,B1,10/10/01,Lokeren,Molenbeek,4,0,H,2,0,H
67,B1,10/10/01,Mouscron,Germinal,3,1,H,1,1,D
68,B1,10/10/01,Westerlo,St Truiden,0,0,D,0,0,D
69,B1,13/10/01,Gent,Genk,0,0,D,0,0,D
70,B1,13/10/01,Charleroi,Louvieroise,2,1,H,1,0,H
71,B1,13/10/01,Lommel,Anderlecht,2,2,D,1,1,D
72,B1,13/10/01,Molenbeek,Beveren,3,0,H,2,0,H
73,B1,13/10/01,Mouscron,Westerlo,1,2,A,1,1,D
74,B1,13/10/01,St Truiden,Lokeren,1,0,H,1,0,H
75,B1,13/10/01,Standard,Antwerp,4,2,H,2,1,H
76,B1,14/10/01,Aalst,Lierse,0,2,A,0,0,D
77,B1,14/10/01,Germinal,Club Brugge,1,2,A,0,1,A
78,B1,20/10/01,Anderlecht,Charleroi,2,1,H,1,0,H
79,B1,20/10/01,Antwerp,Molenbeek,1,2,A,0,1,A
80,B1,20/10/01,Genk,Lommel,4,2,H,2,1,H
81,B1,20/10/01,Lokeren,Mouscron,2,1,H,1,0,H
82,B1,21/10/01,Beveren,St Truiden,3,2,H,0,0,D
83,B1,21/10/01,Club Brugge,Aalst,3,0,H,2,0,H
84,B1,21/10/01,Louvieroise,Standard,3,1,H,1,1,D
85,B1,21/10/01,Lierse,Gent,1,2,A,1,1,D
86,B1,21/10/01,Westerlo,Germinal,1,2,A,0,0,D
87,B1,27/10/01,Charleroi,Genk,0,3,A,0,2,A
88,B1,27/10/01,Germinal,Aalst,4,0,H,1,0,H
89,B1,27/10/01,Molenbeek,Louvieroise,1,0,H,0,0,D
90,B1,27/10/01,St Truiden,Antwerp,3,1,H,1,0,H
91,B1,27/10/01,Standard,Anderlecht,1,0,H,0,0,D
92,B1,27/10/01,Westerlo,Lokeren,0,1,A,0,0,D
93,B1,28/10/01,Gent,Club Brugge,2,2,D,1,0,H
94,B1,28/10/01,Lommel,Lierse,2,2,D,2,1,H
95,B1,28/10/01,Mouscron,Beveren,3,0,H,1,0,H
96,B1,31/10/01,Lokeren,Charleroi,1,0,H,0,0,D
97,B1,03/11/01,Anderlecht,Molenbeek,2,2,D,1,1,D
98,B1,03/11/01,Antwerp,Mouscron,2,1,H,1,1,D
99,B1,03/11/01,Beveren,Westerlo,1,1,D,1,0,H
100,B1,03/11/01,Lierse,Charleroi,1,2,A,1,1,D
101,B1,03/11/01,Lokeren,Germinal,3,2,H,1,0,H
102,B1,04/11/01,Aalst,Gent,1,3,A,0,2,A
103,B1,04/11/01,Club Brugge,Lommel,3,1,H,2,0,H
104,B1,04/11/01,Genk,Standard,1,1,D,0,1,A
105,B1,04/11/01,Louvieroise,St Truiden,1,0,H,0,0,D
106,B1,11/11/01,Germinal,Antwerp,2,0,H,0,0,D
107,B1,24/11/01,Germinal,Gent,3,2,H,1,2,A
108,B1,24/11/01,Lokeren,Beveren,1,0,H,0,0,D
109,B1,24/11/01,Lommel,Aalst,1,1,D,1,1,D
110,B1,24/11/01,Mouscron,Louvieroise,2,0,H,2,0,H
111,B1,24/11/01,St Truiden,Anderlecht,0,2,A,0,0,D
112,B1,24/11/01,Standard,Lierse,2,1,H,1,0,H
113,B1,24/11/01,Westerlo,Antwerp,2,1,H,0,0,D
