,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
0,B1,28/07/17,Antwerp,Anderlecht,0,0,D,0,0,D,3,13,2,6,13,6,5,5,3,0,0,0
1,B1,29/07/17,Charleroi,Kortrijk,1,0,H,1,0,H,6,9,2,1,13,20,5,6,2,1,0,0
2,B1,29/07/17,Eupen,Waregem,0,5,A,0,1,A,3,13,1,9,14,17,2,7,2,2,0,0
3,B1,29/07/17,Genk,Waasland-Beveren,3,3,D,0,1,A,11,9,5,6,12,16,5,2,1,2,0,0
4,B1,29/07/17,Lokeren,Club Brugge,0,4,A,0,3,A,11,9,4,4,13,12,5,6,3,1,0,1
5,B1,30/07/17,Mechelen,Standard,1,1,D,1,1,D,6,5,2,1,19,27,2,3,3,3,0,0
6,B1,30/07/17,Oostende,Mouscron,0,1,A,0,0,D,8,8,4,4,22,14,5,1,3,3,1,0
7,B1,30/07/17,St Truiden,Gent,3,2,H,0,1,A,15,10,9,5,20,16,1,9,2,4,0,0
8,B1,04/08/17,Standard,Genk,2,1,H,0,1,A,5,7,3,4,22,20,5,6,3,4,0,0
9,B1,05/08/17,Kortrijk,Lokeren,1,0,H,1,0,H,20,11,10,5,17,23,14,4,1,4,0,0
10,B1,05/08/17,Mouscron,Charleroi,2,5,A,1,3,A,11,7,5,7,12,14,4,3,3,1,1,0
11,B1,05/08/17,Waasland-Beveren,Mechelen,2,2,D,1,1,D,17,11,10,5,23,15,4,4,3,4,0,0
12,B1,05/08/17,Waregem,St Truiden,2,0,H,0,0,D,14,2,7,2,14,21,11,1,2,3,0,1
13,B1,06/08/17,Anderlecht,Oostende,1,0,H,0,0,D,17,10,8,7,14,13,9,9,1,3,0,0
14,B1,06/08/17,Club Brugge,Eupen,3,1,H,1,1,D,13,8,5,4,24,14,5,2,1,3,0,1
15,B1,06/08/17,Gent,Antwerp,0,1,A,0,1,A,14,2,3,1,12,31,6,3,2,5,0,0
16,B1,11/08/17,Waregem,Club Brugge,1,2,A,0,1,A,7,8,3,6,14,22,4,4,1,3,0,0
17,B1,12/08/17,Eupen,Kortrijk,1,2,A,0,1,A,16,9,7,6,7,25,10,1,3,4,0,0
18,B1,12/08/17,Lokeren,Mouscron,0,2,A,0,1,A,5,8,2,7,23,15,2,3,4,1,1,0
19,B1,12/08/17,Mechelen,Gent,1,1,D,0,1,A,9,13,5,7,15,21,7,7,2,1,0,0
20,B1,12/08/17,Oostende,Waasland-Beveren,0,3,A,0,3,A,16,10,10,7,11,19,10,6,1,0,0,0
21,B1,13/08/17,Antwerp,Genk,3,5,A,1,4,A,8,12,5,8,15,14,5,3,1,1,0,0
22,B1,13/08/17,Charleroi,Anderlecht,2,0,H,0,0,D,8,8,4,6,15,20,7,5,2,3,0,0
23,B1,13/08/17,St Truiden,Standard,1,0,H,0,0,D,10,10,5,4,17,24,2,3,3,4,0,2
24,B1,18/08/17,Standard,Waregem,0,4,A,0,0,D,12,15,7,9,12,14,3,5,0,2,0,0
25,B1,19/08/17,Eupen,Oostende,2,1,H,1,1,D,10,11,6,5,14,13,5,8,2,2,0,0
26,B1,19/08/17,Genk,Charleroi,0,1,A,0,0,D,9,9,1,2,12,12,4,7,0,1,0,0
27,B1,19/08/17,Mechelen,Antwerp,1,2,A,0,0,D,10,4,8,3,15,25,9,2,2,4,0,0
28,B1,19/08/17,Waasland-Beveren,Lokeren,2,3,A,0,3,A,19,8,10,5,17,23,8,6,3,5,0,0
29,B1,20/08/17,Anderlecht,St Truiden,2,3,A,1,1,D,18,9,8,6,14,12,9,2,0,2,0,0
30,B1,20/08/17,Kortrijk,Club Brugge,1,2,A,0,1,A,18,11,9,8,20,20,11,4,3,1,0,0
