,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,F1,06/08/04,Nice,Lyon,0,1,A,0,0,D
1,F1,07/08/04,Bastia,Strasbourg,2,1,H,1,0,H
2,F1,07/08/04,Caen,Istres,1,1,D,1,1,D
3,F1,07/08/04,Lille,Auxerre,2,0,H,1,0,H
4,F1,07/08/04,Marseille,Bordeaux,1,0,H,0,0,D
5,F1,07/08/04,Metz,Nantes,1,0,H,0,0,D
6,F1,07/08/04,Rennes,Paris SG,2,1,H,2,1,H
7,F1,07/08/04,Sochaux,Ajaccio,1,0,H,1,0,H
8,F1,07/08/04,St Etienne,Monaco,0,1,A,0,1,A
9,F1,07/08/04,Toulouse,Lens,0,0,D,0,0,D
10,F1,14/08/04,Ajaccio,Metz,1,2,A,0,1,A
11,F1,14/08/04,Auxerre,Rennes,3,1,H,0,0,D
12,F1,14/08/04,Bordeaux,Nice,5,1,H,2,0,H
13,F1,14/08/04,Lens,St Etienne,3,0,H,2,0,H
14,F1,14/08/04,Lyon,Sochaux,1,1,D,0,1,A
15,F1,14/08/04,Monaco,Istres,2,1,H,2,0,H
16,F1,14/08/04,Nantes,Bastia,1,1,D,0,0,D
17,F1,14/08/04,Paris SG,Caen,2,2,D,1,1,D
18,F1,14/08/04,Strasbourg,Toulouse,1,4,A,0,3,A
19,F1,15/08/04,Marseille,Lille,3,0,H,1,0,H
20,F1,21/08/04,Bastia,Ajaccio,1,0,H,0,0,D
21,F1,21/08/04,Caen,Monaco,1,0,H,1,0,H
22,F1,21/08/04,Istres,Lens,0,2,A,0,1,A
23,F1,21/08/04,Lille,Bordeaux,0,0,D,0,0,D
24,F1,21/08/04,Nice,Marseille,1,1,D,0,0,D
25,F1,21/08/04,Rennes,Nantes,1,0,H,1,0,H
26,F1,21/08/04,Sochaux,Auxerre,1,2,A,1,1,D
27,F1,21/08/04,St Etienne,Strasbourg,1,1,D,1,0,H
28,F1,21/08/04,Toulouse,Paris SG,2,1,H,0,0,D
29,F1,22/08/04,Metz,Lyon,1,1,D,1,0,H
30,F1,27/08/04,Nice,Bastia,1,1,D,1,0,H
31,F1,28/08/04,Ajaccio,Rennes,1,1,D,1,1,D
32,F1,28/08/04,Auxerre,Caen,1,0,H,0,0,D
33,F1,28/08/04,Bordeaux,Sochaux,2,0,H,1,0,H
34,F1,28/08/04,Lens,Monaco,1,1,D,1,1,D
35,F1,28/08/04,Lyon,Lille,1,0,H,1,0,H
36,F1,28/08/04,Marseille,Metz,1,3,A,1,1,D
37,F1,28/08/04,Nantes,Toulouse,2,2,D,1,2,A
38,F1,28/08/04,Strasbourg,Istres,1,1,D,1,0,H
39,F1,29/08/04,Paris SG,St Etienne,2,2,D,0,0,D
40,F1,11/09/04,Bastia,Auxerre,1,0,H,1,0,H
41,F1,11/09/04,Caen,Lens,1,0,H,0,0,D
42,F1,11/09/04,Istres,Paris SG,1,1,D,1,0,H
43,F1,11/09/04,Lille,Nice,1,0,H,0,0,D
44,F1,11/09/04,Metz,Bordeaux,0,0,D,0,0,D
45,F1,11/09/04,Monaco,Strasbourg,3,1,H,1,1,D
46,F1,11/09/04,Rennes,Lyon,1,2,A,0,0,D
47,F1,11/09/04,St Etienne,Nantes,0,0,D,0,0,D
48,F1,11/09/04,Toulouse,Ajaccio,3,1,H,1,1,D
49,F1,12/09/04,Sochaux,Marseille,2,0,H,1,0,H
50,F1,18/09/04,Ajaccio,St Etienne,1,1,D,0,1,A
51,F1,18/09/04,Bordeaux,Rennes,0,0,D,0,0,D
52,F1,18/09/04,Lyon,Bastia,0,0,D,0,0,D
53,F1,18/09/04,Marseille,Toulouse,1,0,H,1,0,H
54,F1,18/09/04,Nantes,Istres,1,0,H,0,0,D
55,F1,18/09/04,Strasbourg,Lens,2,2,D,1,1,D
56,F1,19/09/04,Auxerre,Metz,4,0,H,3,0,H
57,F1,19/09/04,Lille,Caen,2,0,H,1,0,H
58,F1,19/09/04,Nice,Sochaux,2,1,H,1,1,D
59,F1,19/09/04,Paris SG,Monaco,0,1,A,0,0,D
60,F1,21/09/04,Toulouse,Lyon,0,2,A,0,0,D
61,F1,22/09/04,Bastia,Bordeaux,1,4,A,1,3,A
62,F1,22/09/04,Caen,Strasbourg,0,0,D,0,0,D
63,F1,22/09/04,Istres,Ajaccio,0,1,A,0,1,A
64,F1,22/09/04,Lens,Paris SG,2,2,D,0,1,A
65,F1,22/09/04,Metz,Nice,1,1,D,0,0,D
66,F1,22/09/04,Monaco,Nantes,2,1,H,0,1,A
67,F1,22/09/04,Rennes,Marseille,1,0,H,0,0,D
68,F1,22/09/04,Sochaux,Lille,0,2,A,0,0,D
69,F1,22/09/04,St Etienne,Auxerre,3,1,H,3,0,H
70,F1,25/09/04,Ajaccio,Caen,2,2,D,1,1,D
71,F1,25/09/04,Auxerre,Istres,0,0,D,0,0,D
72,F1,25/09/04,Bordeaux,Toulouse,1,1,D,0,0,D
73,F1,25/09/04,Lille,Metz,4,0,H,1,0,H
74,F1,25/09/04,Lyon,Monaco,0,0,D,0,0,D
75,F1,25/09/04,Marseille,Bastia,1,0,H,0,0,D
76,F1,25/09/04,Nice,Rennes,2,0,H,2,0,H
77,F1,25/09/04,Paris SG,Strasbourg,1,0,H,0,0,D
78,F1,25/09/04,Sochaux,St Etienne,2,1,H,1,1,D
79,F1,26/09/04,Nantes,Lens,1,0,H,0,0,D
80,F1,02/10/04,Bastia,Paris SG,1,2,A,1,2,A
81,F1,02/10/04,Caen,Bordeaux,1,1,D,1,0,H
82,F1,02/10/04,Istres,Marseille,0,2,A,0,1,A
83,F1,02/10/04,Lens,Ajaccio,1,1,D,1,1,D
84,F1,02/10/04,Monaco,Nice,3,4,A,2,0,H
85,F1,02/10/04,Strasbourg,Nantes,0,2,A,0,1,A
86,F1,03/10/04,Metz,Sochaux,0,0,D,0,0,D
87,F1,03/10/04,Rennes,Lille,0,1,A,0,0,D
88,F1,03/10/04,St Etienne,Lyon,2,3,A,0,1,A
89,F1,03/10/04,Toulouse,Auxerre,1,2,A,1,0,H
90,F1,15/10/04,Lyon,Caen,4,0,H,3,0,H
91,F1,16/10/04,Ajaccio,Strasbourg,2,2,D,0,1,A
92,F1,16/10/04,Auxerre,Lens,3,0,H,2,0,H
93,F1,16/10/04,Bordeaux,Istres,2,2,D,1,1,D
94,F1,16/10/04,Lille,Bastia,2,1,H,1,1,D
95,F1,16/10/04,Metz,Monaco,1,1,D,0,0,D
96,F1,16/10/04,Nantes,Paris SG,1,0,H,0,0,D
97,F1,16/10/04,Nice,Toulouse,1,0,H,1,0,H
98,F1,16/10/04,Sochaux,Rennes,3,0,H,1,0,H
99,F1,17/10/04,Marseille,St Etienne,1,1,D,0,1,A
100,F1,23/10/04,Caen,Nantes,2,1,H,1,1,D
101,F1,23/10/04,Istres,Lyon,0,0,D,0,0,D
102,F1,23/10/04,Paris SG,Ajaccio,1,0,H,1,0,H
103,F1,23/10/04,Rennes,Metz,3,1,H,2,1,H
104,F1,23/10/04,St Etienne,Bordeaux,0,0,D,0,0,D
105,F1,23/10/04,Strasbourg,Nice,3,1,H,1,0,H
106,F1,24/10/04,Bastia,Sochaux,1,1,D,1,1,D
107,F1,24/10/04,Lens,Marseille,0,0,D,0,0,D
108,F1,24/10/04,Monaco,Auxerre,0,0,D,0,0,D
109,F1,24/10/04,Toulouse,Lille,1,0,H,0,0,D
110,F1,29/10/04,Marseille,Monaco,1,1,D,1,1,D
111,F1,30/10/04,Ajaccio,Nantes,1,1,D,1,1,D
112,F1,30/10/04,Auxerre,Paris SG,1,1,D,0,1,A
113,F1,30/10/04,Bordeaux,Lens,1,1,D,0,0,D
114,F1,30/10/04,Lille,St Etienne,1,0,H,1,0,H
115,F1,30/10/04,Lyon,Strasbourg,1,0,H,0,0,D
116,F1,30/10/04,Metz,Bastia,2,0,H,2,0,H
117,F1,30/10/04,Nice,Istres,0,0,D,0,0,D
118,F1,30/10/04,Rennes,Caen,1,1,D,0,0,D
119,F1,30/10/04,Sochaux,Toulouse,2,0,H,1,0,H
120,F1,06/11/04,Bastia,Rennes,1,1,D,1,0,H
121,F1,06/11/04,Caen,Sochaux,0,2,A,0,1,A
122,F1,06/11/04,Lens,Lyon,0,1,A,0,1,A
123,F1,06/11/04,Monaco,Ajaccio,2,2,D,1,1,D
124,F1,06/11/04,St Etienne,Nice,2,1,H,1,1,D
125,F1,06/11/04,Strasbourg,Bordeaux,1,0,H,0,0,D
126,F1,06/11/04,Toulouse,Metz,1,1,D,1,0,H
127,F1,07/11/04,Istres,Lille,0,2,A,0,1,A
128,F1,07/11/04,Nantes,Auxerre,1,1,D,1,0,H
129,F1,07/11/04,Paris SG,Marseille,2,1,H,1,1,D
130,F1,13/11/04,Auxerre,Ajaccio,1,0,H,0,0,D
131,F1,13/11/04,Bastia,St Etienne,0,3,A,0,0,D
132,F1,13/11/04,Bordeaux,Paris SG,3,0,H,1,0,H
133,F1,13/11/04,Lyon,Nantes,2,0,H,0,0,D
134,F1,13/11/04,Marseille,Strasbourg,2,0,H,0,0,D
135,F1,13/11/04,Metz,Caen,1,2,A,1,1,D
136,F1,13/11/04,Nice,Lens,1,1,D,1,1,D
137,F1,13/11/04,Rennes,Toulouse,1,1,D,0,0,D
138,F1,13/11/04,Sochaux,Istres,1,1,D,0,0,D
139,F1,14/11/04,Lille,Monaco,1,1,D,1,1,D
140,F1,19/11/04,Monaco,Sochaux,1,3,A,0,1,A
141,F1,19/11/04,Paris SG,Lyon,0,0,D,0,0,D
142,F1,20/11/04,Ajaccio,Marseille,2,0,H,1,0,H
143,F1,20/11/04,Caen,Nice,0,0,D,0,0,D
144,F1,20/11/04,Istres,Metz,0,0,D,0,0,D
145,F1,20/11/04,Lens,Lille,1,1,D,1,0,H
146,F1,20/11/04,Nantes,Bordeaux,0,1,A,0,1,A
147,F1,20/11/04,St Etienne,Rennes,1,0,H,0,0,D
148,F1,20/11/04,Strasbourg,Auxerre,3,1,H,2,0,H
149,F1,20/11/04,Toulouse,Bastia,1,0,H,0,0,D
150,F1,27/11/04,Bastia,Caen,2,0,H,1,0,H
151,F1,27/11/04,Bordeaux,Ajaccio,0,0,D,0,0,D
152,F1,27/11/04,Lyon,Auxerre,2,1,H,2,0,H
153,F1,27/11/04,Marseille,Nantes,3,1,H,2,0,H
154,F1,27/11/04,Metz,St Etienne,2,2,D,2,1,H
155,F1,27/11/04,Rennes,Istres,3,1,H,1,0,H
156,F1,27/11/04,Toulouse,Monaco,0,0,D,0,0,D
157,F1,28/11/04,Lille,Strasbourg,1,1,D,0,0,D
158,F1,28/11/04,Nice,Paris SG,1,1,D,0,1,A
159,F1,28/11/04,Sochaux,Lens,1,2,A,0,0,D
160,F1,03/12/04,Monaco,Rennes,2,0,H,2,0,H
161,F1,04/12/04,Ajaccio,Lyon,1,1,D,0,0,D
162,F1,04/12/04,Caen,Marseille,2,3,A,1,1,D
163,F1,04/12/04,Istres,Bastia,1,0,H,0,0,D
164,F1,04/12/04,Lens,Metz,2,0,H,1,0,H
165,F1,04/12/04,Nantes,Nice,0,1,A,0,1,A
166,F1,04/12/04,Paris SG,Lille,1,1,D,1,1,D
167,F1,04/12/04,St Etienne,Toulouse,0,0,D,0,0,D
168,F1,04/12/04,Strasbourg,Sochaux,0,0,D,0,0,D
169,F1,05/12/04,Auxerre,Bordeaux,0,0,D,0,0,D
170,F1,11/12/04,Bastia,Monaco,0,2,A,0,2,A
171,F1,11/12/04,Bordeaux,Lyon,0,0,D,0,0,D
172,F1,11/12/04,Lille,Nantes,2,1,H,0,1,A
173,F1,11/12/04,Marseille,Auxerre,0,1,A,0,0,D
174,F1,11/12/04,Metz,Strasbourg,1,0,H,1,0,H
175,F1,11/12/04,Nice,Ajaccio,3,0,H,1,0,H
176,F1,11/12/04,Rennes,Lens,3,1,H,1,1,D
177,F1,11/12/04,St Etienne,Caen,5,0,H,4,0,H
178,F1,11/12/04,Toulouse,Istres,2,1,H,1,1,D
179,F1,12/12/04,Sochaux,Paris SG,1,2,A,0,2,A
180,F1,17/12/04,Lyon,Marseille,1,1,D,1,1,D
181,F1,18/12/04,Ajaccio,Lille,0,0,D,0,0,D
182,F1,18/12/04,Auxerre,Nice,4,3,H,1,0,H
183,F1,18/12/04,Caen,Toulouse,0,2,A,0,1,A
184,F1,18/12/04,Istres,St Etienne,0,2,A,0,2,A
185,F1,18/12/04,Lens,Bastia,2,1,H,1,0,H
186,F1,18/12/04,Monaco,Bordeaux,1,1,D,1,1,D
187,F1,18/12/04,Paris SG,Metz,3,0,H,1,0,H
188,F1,18/12/04,Strasbourg,Rennes,1,0,H,1,0,H
189,F1,19/12/04,Nantes,Sochaux,2,2,D,1,2,A
190,F1,11/01/05,Lille,Marseille,1,2,A,0,2,A
191,F1,12/01/05,Bastia,Nantes,0,0,D,0,0,D
192,F1,12/01/05,Caen,Paris SG,0,0,D,0,0,D
193,F1,12/01/05,Istres,Monaco,0,1,A,0,1,A
194,F1,12/01/05,Metz,Ajaccio,1,0,H,0,0,D
195,F1,12/01/05,Nice,Bordeaux,3,3,D,2,1,H
196,F1,12/01/05,Rennes,Auxerre,1,0,H,0,0,D
197,F1,12/01/05,Sochaux,Lyon,0,2,A,0,2,A
198,F1,12/01/05,St Etienne,Lens,0,0,D,0,0,D
199,F1,12/01/05,Toulouse,Strasbourg,2,0,H,1,0,H
200,F1,15/01/05,Ajaccio,Bastia,1,0,H,1,0,H
201,F1,15/01/05,Auxerre,Sochaux,2,0,H,0,0,D
202,F1,15/01/05,Bordeaux,Lille,1,3,A,0,2,A
203,F1,15/01/05,Lens,Istres,0,1,A,0,1,A
204,F1,15/01/05,Lyon,Metz,2,0,H,0,0,D
205,F1,15/01/05,Monaco,Caen,5,2,H,3,1,H
206,F1,15/01/05,Nantes,Rennes,2,0,H,1,0,H
207,F1,15/01/05,Paris SG,Toulouse,0,0,D,0,0,D
208,F1,15/01/05,Strasbourg,St Etienne,1,1,D,1,1,D
209,F1,16/01/05,Marseille,Nice,2,0,H,2,0,H
210,F1,22/01/05,Bastia,Nice,2,0,H,1,0,H
211,F1,22/01/05,Caen,Auxerre,0,2,A,0,0,D
212,F1,22/01/05,Istres,Strasbourg,1,1,D,0,1,A
213,F1,22/01/05,Metz,Marseille,0,1,A,0,1,A
214,F1,22/01/05,Monaco,Lens,2,0,H,2,0,H
215,F1,22/01/05,Rennes,Ajaccio,2,0,H,1,0,H
216,F1,22/01/05,Sochaux,Bordeaux,4,0,H,0,0,D
217,F1,22/01/05,St Etienne,Paris SG,0,0,D,0,0,D
218,F1,22/01/05,Toulouse,Nantes,2,1,H,1,1,D
219,F1,23/01/05,Lille,Lyon,2,1,H,1,0,H
220,F1,25/01/05,Marseille,Sochaux,0,2,A,0,0,D
221,F1,26/01/05,Ajaccio,Toulouse,1,0,H,1,0,H
222,F1,26/01/05,Auxerre,Bastia,4,1,H,1,1,D
223,F1,26/01/05,Bordeaux,Metz,1,0,H,0,0,D
224,F1,26/01/05,Lens,Caen,0,1,A,0,0,D
225,F1,26/01/05,Lyon,Rennes,2,1,H,2,0,H
226,F1,26/01/05,Nantes,St Etienne,0,0,D,0,0,D
227,F1,26/01/05,Nice,Lille,1,1,D,0,1,A
228,F1,26/01/05,Paris SG,Istres,2,2,D,1,0,H
229,F1,29/01/05,Caen,Lille,0,0,D,0,0,D
230,F1,29/01/05,Lens,Strasbourg,2,1,H,1,0,H
231,F1,29/01/05,Metz,Auxerre,3,0,H,0,0,D
232,F1,29/01/05,Rennes,Bordeaux,2,0,H,1,0,H
233,F1,29/01/05,Sochaux,Nice,0,0,D,0,0,D
234,F1,29/01/05,Toulouse,Marseille,1,3,A,1,2,A
235,F1,30/01/05,Istres,Nantes,0,1,A,0,0,D
236,F1,30/01/05,Monaco,Paris SG,2,0,H,1,0,H
237,F1,01/02/05,Bastia,Lyon,1,1,D,0,1,A
238,F1,05/02/05,Ajaccio,Istres,0,0,D,0,0,D
239,F1,05/02/05,Auxerre,St Etienne,2,2,D,1,1,D
240,F1,05/02/05,Bordeaux,Bastia,0,0,D,0,0,D
241,F1,05/02/05,Lille,Sochaux,0,0,D,0,0,D
