,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
0,F1,29/07/05,Paris SG,Metz,4,1,H,2,0,H,16.0,11.0,9.0,7.0,2,3,0,0
1,F1,30/07/05,Lille,Rennes,1,0,H,1,0,H,14.0,8.0,5.0,5.0,2,3,0,0
2,F1,30/07/05,Marseille,Bordeaux,0,2,A,0,1,A,7.0,9.0,3.0,4.0,2,4,1,0
3,F1,30/07/05,Nancy,Monaco,0,1,A,0,0,D,10.0,5.0,6.0,3.0,2,2,2,0
4,F1,30/07/05,Nantes,Lens,2,0,H,2,0,H,10.0,10.0,3.0,3.0,1,3,0,0
5,F1,30/07/05,Nice,Troyes,1,1,D,1,0,H,13.0,5.0,6.0,5.0,2,2,0,1
6,F1,30/07/05,Sochaux,Toulouse,0,1,A,0,1,A,14.0,7.0,7.0,4.0,2,3,0,0
7,F1,30/07/05,St Etienne,Ajaccio,0,0,D,0,0,D,10.0,5.0,6.0,3.0,1,2,0,0
8,F1,30/07/05,Strasbourg,Auxerre,0,0,D,0,0,D,15.0,5.0,3.0,0.0,1,0,1,1
9,F1,31/07/05,Le Mans,Lyon,1,2,A,0,1,A,11.0,6.0,4.0,3.0,1,2,0,0
10,F1,06/08/05,Ajaccio,Lille,3,3,D,2,2,D,17.0,10.0,6.0,6.0,1,3,0,0
11,F1,06/08/05,Bordeaux,Nancy,1,0,H,1,0,H,7.0,9.0,6.0,4.0,2,2,0,0
12,F1,06/08/05,Lens,Marseille,2,0,H,1,0,H,15.0,3.0,7.0,2.0,2,3,0,0
13,F1,06/08/05,Metz,Le Mans,0,0,D,0,0,D,9.0,14.0,6.0,8.0,1,2,0,0
14,F1,06/08/05,Monaco,Auxerre,0,2,A,0,1,A,10.0,11.0,3.0,5.0,2,2,1,0
15,F1,06/08/05,Sochaux,Paris SG,0,1,A,0,0,D,11.0,6.0,7.0,3.0,3,2,0,0
16,F1,06/08/05,Toulouse,Nice,0,2,A,0,2,A,8.0,7.0,2.0,4.0,1,2,0,0
17,F1,06/08/05,Troyes,St Etienne,0,0,D,0,0,D,8.0,13.0,4.0,3.0,1,2,0,0
18,F1,07/08/05,Lyon,Strasbourg,1,0,H,1,0,H,6.0,6.0,3.0,3.0,2,1,0,0
19,F1,07/08/05,Rennes,Nantes,0,3,A,0,1,A,10.0,11.0,6.0,8.0,1,1,1,0
20,F1,13/08/05,Auxerre,Bordeaux,1,0,H,1,0,H,12.0,7.0,7.0,3.0,0,0,0,0
21,F1,13/08/05,Le Mans,Rennes,4,0,H,2,0,H,17.0,8.0,9.0,1.0,2,3,0,1
22,F1,13/08/05,Lille,Troyes,1,2,A,0,2,A,12.0,8.0,6.0,5.0,2,3,0,0
23,F1,13/08/05,Nancy,Lens,1,2,A,0,2,A,8.0,10.0,4.0,6.0,1,1,0,0
24,F1,13/08/05,Nantes,Ajaccio,0,2,A,0,0,D,10.0,13.0,3.0,4.0,0,1,0,0
25,F1,13/08/05,Nice,Sochaux,1,2,A,1,0,H,8.0,7.0,1.0,6.0,3,3,1,2
26,F1,13/08/05,Paris SG,Toulouse,2,0,H,1,0,H,16.0,6.0,9.0,1.0,3,2,0,1
27,F1,13/08/05,St Etienne,Metz,2,0,H,2,0,H,10.0,8.0,4.0,4.0,0,2,0,0
28,F1,14/08/05,Marseille,Lyon,1,1,D,1,1,D,11.0,7.0,3.0,3.0,2,1,0,0
29,F1,14/08/05,Strasbourg,Monaco,1,2,A,0,0,D,12.0,14.0,4.0,6.0,2,3,0,0
30,F1,20/08/05,Ajaccio,Le Mans,0,0,D,0,0,D,15.0,10.0,7.0,5.0,2,4,0,0
31,F1,20/08/05,Bordeaux,Monaco,1,0,H,0,0,D,9.0,4.0,6.0,2.0,2,5,0,0
32,F1,20/08/05,Lens,Auxerre,7,0,H,3,0,H,14.0,8.0,13.0,5.0,0,1,0,0
33,F1,20/08/05,Lyon,Nancy,1,0,H,0,0,D,10.0,7.0,5.0,3.0,2,4,0,0
34,F1,20/08/05,Metz,Strasbourg,0,0,D,0,0,D,15.0,12.0,4.0,3.0,3,1,0,0
35,F1,20/08/05,Nice,Nantes,1,1,D,1,0,H,11.0,8.0,8.0,2.0,2,4,0,1
36,F1,20/08/05,Rennes,Marseille,3,2,H,2,2,D,15.0,8.0,10.0,5.0,1,1,0,0
37,F1,20/08/05,Sochaux,Lille,0,0,D,0,0,D,11.0,10.0,5.0,2.0,0,2,0,0
38,F1,21/08/05,Toulouse,St Etienne,1,1,D,1,0,H,6.0,8.0,3.0,3.0,1,0,0,0
39,F1,21/08/05,Troyes,Paris SG,1,1,D,0,1,A,8.0,8.0,6.0,4.0,3,4,0,1
40,F1,24/08/05,Lille,Toulouse,0,0,D,0,0,D,12.0,4.0,4.0,2.0,1,0,0,0
41,F1,27/08/05,Le Mans,Troyes,1,0,H,1,0,H,15.0,8.0,7.0,2.0,1,1,0,0
42,F1,27/08/05,Marseille,Ajaccio,1,1,D,0,0,D,15.0,8.0,6.0,6.0,2,1,0,0
43,F1,27/08/05,Nancy,Rennes,6,0,H,4,0,H,18.0,9.0,8.0,3.0,0,4,0,0
44,F1,27/08/05,Nantes,Metz,0,0,D,0,0,D,10.0,5.0,4.0,2.0,2,3,0,0
45,F1,27/08/05,Paris SG,Nice,1,2,A,1,0,H,6.0,5.0,3.0,2.0,2,4,1,0
