,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
0,F1,04/08/2006,Nantes,Lyon,1,3,A,1,1,D,10,13,4,6,7,2,2,2,0,0
1,F1,05/08/2006,Auxerre,Valenciennes,1,1,D,0,1,A,14,13,6,5,4,3,5,4,1,0
2,F1,05/08/2006,Bordeaux,Toulouse,2,0,H,0,0,D,14,3,7,1,6,4,1,1,0,0
3,F1,05/08/2006,Le Mans,Nice,1,0,H,1,0,H,12,8,4,3,10,2,1,3,0,0
4,F1,05/08/2006,Lens,Troyes,1,0,H,1,0,H,11,5,3,1,4,1,5,3,0,0
5,F1,05/08/2006,Nancy,Monaco,1,0,H,0,0,D,11,5,3,1,3,1,4,3,0,1
6,F1,05/08/2006,Paris SG,Lorient,2,3,A,2,1,H,11,8,8,5,6,3,0,1,0,0
7,F1,05/08/2006,Rennes,Lille,1,2,A,0,2,A,9,20,4,9,4,3,2,3,0,0
8,F1,05/08/2006,St Etienne,Sochaux,1,2,A,1,1,D,4,8,3,6,3,4,0,1,0,0
9,F1,06/08/2006,Sedan,Marseille,0,0,D,0,0,D,10,10,5,3,1,5,1,2,0,0
10,F1,13/08/2006,Lille,Lens,4,0,H,2,0,H,11,3,7,1,4,1,2,4,0,1
11,F1,12/08/2006,Lorient,Bordeaux,0,1,A,0,1,A,12,14,2,6,10,5,1,5,2,0
12,F1,12/08/2006,Lyon,Toulouse,1,1,D,0,0,D,16,10,6,5,3,3,1,5,0,0
13,F1,13/08/2006,Marseille,Rennes,2,0,H,1,0,H,11,13,3,4,4,4,2,3,0,0
14,F1,12/08/2006,Monaco,St Etienne,1,2,A,0,1,A,11,13,5,6,3,2,3,2,1,0
15,F1,12/08/2006,Nancy,Sedan,3,1,H,0,1,A,15,10,7,4,8,1,1,2,0,1
16,F1,12/08/2006,Nice,Nantes,1,1,D,0,0,D,8,3,3,1,4,2,2,1,0,0
17,F1,12/08/2006,Sochaux,Auxerre,1,1,D,0,1,A,10,9,4,7,10,3,0,1,0,0
18,F1,12/08/2006,Troyes,Le Mans,2,2,D,0,2,A,9,10,2,7,6,1,3,2,0,0
19,F1,12/08/2006,Valenciennes,Paris SG,0,0,D,0,0,D,10,8,4,3,4,3,2,1,0,0
20,F1,19/08/2006,Auxerre,Marseille,0,3,A,0,1,A,6,5,2,2,4,3,2,2,1,0
21,F1,19/08/2006,Le Mans,Valenciennes,3,2,H,1,2,A,15,5,7,2,3,2,0,1,0,0
22,F1,19/08/2006,Lens,Lorient,1,1,D,1,0,H,11,11,4,4,1,4,2,3,0,0
23,F1,19/08/2006,Nantes,Troyes,1,1,D,1,0,H,6,8,2,3,2,4,1,3,0,0
24,F1,19/08/2006,Paris SG,Lille,1,0,H,0,0,D,19,14,9,6,8,5,2,2,0,1
25,F1,19/08/2006,Rennes,Monaco,1,1,D,0,1,A,12,6,5,2,11,1,2,5,0,0
26,F1,19/08/2006,Sedan,Sochaux,1,1,D,0,1,A,7,5,3,3,2,3,1,2,0,0
27,F1,19/08/2006,St Etienne,Nancy,1,0,H,0,0,D,9,6,1,4,3,5,3,2,0,1
28,F1,20/08/2006,Bordeaux,Lyon,1,2,A,1,1,D,8,15,4,3,4,4,4,3,0,0
29,F1,20/08/2006,Toulouse,Nice,1,0,H,1,0,H,8,8,4,3,5,5,3,3,0,0
30,F1,26/08/2006,Lille,Bordeaux,3,0,H,2,0,H,8,8,4,2,5,4,3,2,0,0
31,F1,26/08/2006,Lorient,Nantes,3,1,H,3,1,H,10,8,6,4,4,1,0,3,0,1
32,F1,26/08/2006,Nice,Lyon,1,4,A,1,0,H,5,13,1,5,0,14,3,2,0,0
33,F1,26/08/2006,Sochaux,Paris SG,3,2,H,2,0,H,15,5,6,3,5,0,1,4,0,0
34,F1,26/08/2006,Troyes,Toulouse,1,2,A,0,1,A,11,7,5,2,6,1,2,3,0,0
35,F1,27/08/2006,Marseille,Le Mans,2,0,H,0,0,D,8,13,4,5,2,7,2,2,0,0
36,F1,27/08/2006,Monaco,Sedan,2,1,H,2,0,H,9,9,4,3,5,1,4,2,0,0
37,F1,27/08/2006,Nancy,Auxerre,1,0,H,0,0,D,5,4,2,0,6,4,3,2,0,0
38,F1,27/08/2006,St Etienne,Lens,3,2,H,2,0,H,13,8,6,4,4,7,2,3,0,0
39,F1,27/08/2006,Valenciennes,Rennes,3,1,H,0,1,A,11,12,10,8,5,2,1,2,0,0
40,F1,09/09/2006,Auxerre,Monaco,2,1,H,1,0,H,18,7,8,2,5,5,2,3,0,0
41,F1,09/09/2006,Bordeaux,Nice,3,2,H,2,1,H,9,7,3,5,2,2,1,1,0,0
42,F1,09/09/2006,Le Mans,Lorient,1,1,D,0,0,D,13,9,7,6,7,6,2,2,0,0
43,F1,09/09/2006,Lens,Valenciennes,3,0,H,3,0,H,5,8,5,4,2,1,3,2,0,0
44,F1,09/09/2006,Lyon,Troyes,2,0,H,1,0,H,16,9,7,3,6,5,2,1,0,0
45,F1,09/09/2006,Nantes,Lille,1,1,D,0,1,A,10,9,5,2,4,1,2,2,0,0
46,F1,09/09/2006,Rennes,Sochaux,2,1,H,0,0,D,19,9,10,4,6,3,1,6,0,0
47,F1,09/09/2006,Sedan,St Etienne,2,2,D,1,1,D,9,10,6,3,1,0,2,2,0,0
48,F1,10/09/2006,Paris SG,Marseille,1,3,A,1,1,D,9,13,3,5,5,6,2,4,0,0
49,F1,10/09/2006,Toulouse,Nancy,2,2,D,1,0,H,7,9,4,5,4,4,1,2,1,0
50,F1,16/09/2006,Lille,Toulouse,1,3,A,1,3,A,15,9,7,4,5,3,3,4,0,0
51,F1,16/09/2006,Lorient,Lyon,1,3,A,0,1,A,10,10,5,5,1,5,0,0,0,0
52,F1,16/09/2006,Sedan,Le Mans,1,2,A,0,2,A,8,12,1,4,6,4,4,3,0,1
53,F1,16/09/2006,Troyes,Nice,2,0,H,0,0,D,12,3,9,3,2,1,3,1,0,1
54,F1,16/09/2006,Valenciennes,Nantes,1,0,H,1,0,H,12,4,3,0,4,5,1,2,0,0
55,F1,17/09/2006,Marseille,Bordeaux,2,1,H,0,0,D,10,7,5,2,4,3,2,2,0,1
56,F1,17/09/2006,Monaco,Paris SG,1,2,A,1,1,D,8,9,4,5,3,6,2,2,0,0
57,F1,17/09/2006,Nancy,Rennes,0,0,D,0,0,D,13,7,5,3,3,3,2,4,0,1
58,F1,17/09/2006,Sochaux,Lens,0,3,A,0,1,A,11,11,5,6,6,3,1,2,0,0
59,F1,17/09/2006,St Etienne,Auxerre,2,3,A,1,1,D,9,9,2,7,2,2,3,1,0,0
60,F1,23/09/2006,Auxerre,Sedan,2,2,D,1,1,D,13,8,9,5,6,3,2,1,0,0
61,F1,23/09/2006,Bordeaux,Troyes,2,1,H,0,1,A,12,8,5,2,7,1,3,4,0,0
