,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
0,D1,05/08/05,Bayern Munich,M'gladbach,3,0,H,1,0,H,19,10,15,18,5,9,4,2,1,0
1,D1,06/08/05,Duisburg,Stuttgart,1,1,D,1,1,D,11,11,19,19,5,4,5,3,0,1
2,D1,06/08/05,FC Koln,Mainz,1,0,H,0,0,D,14,19,31,38,5,2,2,3,0,0
3,D1,06/08/05,Hamburg,Nurnberg,3,0,H,2,0,H,12,17,14,15,2,4,2,2,0,0
4,D1,06/08/05,Hannover,Hertha,2,2,D,0,0,D,12,15,15,12,2,8,2,0,0,0
5,D1,06/08/05,Werder Bremen,Bielefeld,5,2,H,3,2,H,17,10,14,14,5,2,0,1,0,0
6,D1,06/08/05,Wolfsburg,Dortmund,2,2,D,1,0,H,12,16,18,11,5,6,2,1,0,0
7,D1,07/08/05,Ein Frankfurt,Leverkusen,1,4,A,1,1,D,17,13,21,23,7,3,1,0,0,0
8,D1,07/08/05,Schalke 04,Kaiserslautern,2,1,H,0,1,A,24,7,17,24,12,4,1,1,0,0
9,D1,13/08/05,Bielefeld,Hamburg,0,2,A,0,0,D,14,13,22,20,2,3,3,3,0,0
10,D1,13/08/05,Dortmund,Schalke 04,1,2,A,1,1,D,10,15,22,22,2,3,0,3,0,0
11,D1,13/08/05,Hertha,Ein Frankfurt,2,0,H,0,0,D,13,12,19,23,9,2,3,2,0,0
12,D1,13/08/05,Kaiserslautern,Duisburg,5,3,H,2,1,H,28,11,21,15,4,3,3,3,0,0
13,D1,13/08/05,Leverkusen,Bayern Munich,2,5,A,1,3,A,15,13,13,12,7,1,1,0,0,0
14,D1,13/08/05,M'gladbach,Wolfsburg,1,1,D,0,1,A,16,8,16,23,20,1,1,3,0,1
15,D1,13/08/05,Nurnberg,Hannover,1,1,D,0,1,A,23,13,8,18,4,6,0,3,0,0
16,D1,14/08/05,Mainz,Werder Bremen,0,2,A,0,1,A,15,11,13,26,5,12,2,4,0,0
17,D1,14/08/05,Stuttgart,FC Koln,2,3,A,0,1,A,19,14,21,20,10,3,3,6,0,1
18,D1,27/08/05,Bayern Munich,Hertha,3,0,H,0,0,D,18,7,15,27,5,3,0,5,0,0
19,D1,27/08/05,Ein Frankfurt,Nurnberg,1,0,H,0,0,D,11,11,19,18,13,4,2,2,0,0
20,D1,27/08/05,FC Koln,Kaiserslautern,2,3,A,0,1,A,17,16,12,21,11,5,3,3,0,0
21,D1,27/08/05,Hamburg,Hannover,1,1,D,1,1,D,18,10,20,16,9,4,1,4,0,0
22,D1,27/08/05,Schalke 04,M'gladbach,1,1,D,0,1,A,23,6,16,21,6,1,1,3,0,0
23,D1,27/08/05,Werder Bremen,Stuttgart,1,1,D,1,0,H,23,11,21,20,6,4,2,2,0,0
24,D1,27/08/05,Wolfsburg,Leverkusen,2,1,H,1,1,D,11,13,15,16,10,5,4,1,0,2
25,D1,28/08/05,Bielefeld,Mainz,2,0,H,2,0,H,6,18,28,23,3,6,2,3,0,0
26,D1,28/08/05,Duisburg,Dortmund,1,1,D,0,0,D,14,19,18,10,5,4,1,3,0,0
27,D1,10/09/05,Hannover,Ein Frankfurt,2,0,H,1,0,H,13,16,17,15,1,6,2,1,0,0
28,D1,10/09/05,Kaiserslautern,Werder Bremen,1,5,A,0,3,A,12,18,16,15,2,6,1,3,0,0
29,D1,10/09/05,Leverkusen,Schalke 04,1,1,D,0,0,D,17,14,14,15,8,6,4,4,0,0
30,D1,10/09/05,Mainz,Hamburg,1,3,A,0,1,A,21,13,12,12,2,9,1,1,0,0
31,D1,10/09/05,M'gladbach,Duisburg,2,1,H,1,1,D,22,13,20,33,7,2,3,2,0,0
32,D1,10/09/05,Nurnberg,Bayern Munich,1,2,A,1,1,D,11,21,18,23,5,10,4,2,0,0
33,D1,10/09/05,Stuttgart,Bielefeld,1,1,D,0,0,D,15,16,13,25,7,3,2,3,0,0
34,D1,11/09/05,Dortmund,FC Koln,2,1,H,1,0,H,17,18,20,18,3,2,1,4,0,0
35,D1,11/09/05,Hertha,Wolfsburg,3,0,H,0,0,D,21,13,21,18,7,2,3,2,0,0
36,D1,17/09/05,Bayern Munich,Hannover,1,0,H,1,0,H,11,13,14,12,3,3,0,1,0,0
37,D1,17/09/05,Bielefeld,Kaiserslautern,0,0,D,0,0,D,12,7,12,16,4,3,0,1,0,0
38,D1,17/09/05,FC Koln,M'gladbach,2,1,H,2,0,H,18,18,10,14,5,12,1,4,0,0
39,D1,17/09/05,Hamburg,Ein Frankfurt,1,1,D,0,0,D,12,11,23,27,6,5,2,2,0,0
40,D1,17/09/05,Mainz,Stuttgart,1,2,A,0,0,D,23,10,18,20,6,2,0,4,0,0
41,D1,17/09/05,Werder Bremen,Dortmund,3,2,H,1,1,D,26,11,23,27,15,4,2,1,0,0
42,D1,17/09/05,Wolfsburg,Nurnberg,1,1,D,1,0,H,11,25,28,15,6,3,4,3,0,0
43,D1,18/09/05,Duisburg,Leverkusen,1,3,A,1,2,A,13,17,23,18,6,4,4,3,0,0
44,D1,18/09/05,Schalke 04,Hertha,0,0,D,0,0,D,28,10,24,27,9,4,5,4,0,1
