,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,G1,22/08/15,AEK,Platanias,3.0,0.0,H,1.0,0.0,H
1,G1,22/08/15,Kallonis,Iraklis,0.0,1.0,A,0.0,1.0,A
2,G1,22/08/15,Panthrakikos,Asteras Tripolis,0.0,2.0,A,0.0,1.0,A
3,G1,23/08/15,Atromitos,Levadeiakos,1.0,0.0,H,1.0,0.0,H
4,G1,23/08/15,Olympiakos,Panionios,3.0,0.0,H,1.0,0.0,H
5,G1,23/08/15,PAOK,Xanthi,0.0,0.0,D,0.0,0.0,D
6,G1,23/08/15,Veria,Giannina,1.0,1.0,D,0.0,1.0,A
7,G1,24/08/15,Panetolikos,Panathinaikos,1.0,2.0,A,1.0,0.0,H
8,G1,29/08/15,Levadeiakos,Olympiakos,0.0,2.0,A,0.0,0.0,D
9,G1,29/08/15,Panthrakikos,Veria,0.0,2.0,A,0.0,1.0,A
10,G1,29/08/15,Xanthi,AEK,0.0,0.0,D,0.0,0.0,D
11,G1,30/08/15,Asteras Tripolis,Panetolikos,0.0,2.0,A,0.0,1.0,A
12,G1,30/08/15,Giannina,PAOK,3.0,1.0,H,1.0,0.0,H
13,G1,30/08/15,Iraklis,Panionios,0.0,1.0,A,0.0,1.0,A
14,G1,30/08/15,Panathinaikos,Kallonis,4.0,0.0,H,2.0,0.0,H
15,G1,31/08/15,Platanias,Atromitos,1.0,2.0,A,1.0,0.0,H
16,G1,12/09/15,Kallonis,Asteras Tripolis,1.0,1.0,D,0.0,0.0,D
17,G1,12/09/15,Olympiakos,Platanias,3.0,1.0,H,1.0,0.0,H
18,G1,12/09/15,Veria,PAOK,0.0,3.0,A,0.0,2.0,A
19,G1,13/09/15,AEK,Giannina,3.0,1.0,H,2.0,1.0,H
20,G1,13/09/15,Atromitos,Xanthi,0.0,1.0,A,0.0,0.0,D
21,G1,13/09/15,Panetolikos,Panthrakikos,1.0,0.0,H,1.0,0.0,H
22,G1,13/09/15,Panionios,Panathinaikos,1.0,0.0,H,1.0,0.0,H
23,G1,14/09/15,Iraklis,Levadeiakos,0.0,1.0,A,0.0,0.0,D
24,G1,22/09/15,Panetolikos,Veria,1.0,1.0,D,0.0,0.0,D
25,G1,22/09/15,Platanias,Iraklis,0.0,0.0,D,0.0,0.0,D
26,G1,22/09/15,Xanthi,Olympiakos,1.0,3.0,A,0.0,1.0,A
27,G1,23/09/15,Asteras Tripolis,Panionios,2.0,1.0,H,2.0,1.0,H
28,G1,23/09/15,Giannina,Atromitos,1.0,0.0,H,1.0,0.0,H
29,G1,23/09/15,Panathinaikos,Levadeiakos,3.0,0.0,H,3.0,0.0,H
30,G1,23/09/15,Panthrakikos,Kallonis,0.0,0.0,D,0.0,0.0,D
31,G1,23/09/15,PAOK,AEK,2.0,1.0,H,0.0,0.0,D
32,G1,26/09/15,Iraklis,Xanthi,1.0,1.0,D,0.0,0.0,D
33,G1,26/09/15,Kallonis,Panetolikos,5.0,1.0,H,4.0,0.0,H
34,G1,26/09/15,Olympiakos,Giannina,5.0,1.0,H,3.0,0.0,H
35,G1,27/09/15,Atromitos,PAOK,1.0,2.0,A,0.0,0.0,D
36,G1,27/09/15,Levadeiakos,Asteras Tripolis,2.0,1.0,H,1.0,0.0,H
37,G1,27/09/15,Panathinaikos,Platanias,1.0,0.0,H,1.0,0.0,H
38,G1,27/09/15,Panionios,Panthrakikos,1.0,1.0,D,1.0,0.0,H
39,G1,28/09/15,Veria,AEK,1.0,2.0,A,1.0,0.0,H
40,G1,03/10/15,Panetolikos,Panionios,1.0,5.0,A,0.0,4.0,A
41,G1,03/10/15,Panthrakikos,Levadeiakos,1.0,3.0,A,1.0,0.0,H
42,G1,03/10/15,Xanthi,Panathinaikos,0.0,1.0,A,0.0,0.0,D
43,G1,04/10/15,AEK,Atromitos,1.0,0.0,H,0.0,0.0,D
44,G1,04/10/15,Giannina,Iraklis,2.0,2.0,D,1.0,1.0,D
45,G1,04/10/15,Kallonis,Veria,0.0,1.0,A,0.0,0.0,D
46,G1,04/10/15,PAOK,Olympiakos,0.0,2.0,A,0.0,2.0,A
47,G1,05/10/15,Asteras Tripolis,Platanias,1.0,1.0,D,1.0,1.0,D
48,G1,17/10/15,Olympiakos,AEK,4.0,0.0,H,1.0,0.0,H
49,G1,17/10/15,Panionios,Kallonis,2.0,0.0,H,1.0,0.0,H
50,G1,17/10/15,Platanias,Panthrakikos,4.0,0.0,H,2.0,0.0,H
51,G1,18/10/15,Asteras Tripolis,Xanthi,1.0,1.0,D,1.0,0.0,H
52,G1,18/10/15,Iraklis,PAOK,3.0,3.0,D,2.0,1.0,H
53,G1,18/10/15,Levadeiakos,Panetolikos,2.0,2.0,D,1.0,2.0,A
54,G1,18/10/15,Veria,Atromitos,0.0,1.0,A,0.0,0.0,D
55,G1,19/10/15,Panathinaikos,Giannina,3.0,1.0,H,1.0,0.0,H
56,G1,24/10/15,AEK,Iraklis,5.0,1.0,H,2.0,0.0,H
57,G1,24/10/15,Kallonis,Levadeiakos,0.0,0.0,D,0.0,0.0,D
58,G1,24/10/15,Panetolikos,Platanias,1.0,2.0,A,0.0,1.0,A
59,G1,25/10/15,Atromitos,Olympiakos,1.0,2.0,A,0.0,0.0,D
60,G1,25/10/15,Giannina,Asteras Tripolis,1.0,2.0,A,1.0,1.0,D
61,G1,25/10/15,Panionios,Veria,0.0,1.0,A,0.0,0.0,D
62,G1,25/10/15,Panthrakikos,Xanthi,0.0,0.0,D,0.0,0.0,D
63,G1,25/10/15,PAOK,Panathinaikos,3.0,1.0,H,3.0,0.0,H
64,G1,31/10/15,Levadeiakos,Panionios,0.0,2.0,A,0.0,0.0,D
65,G1,31/10/15,Platanias,Kallonis,2.0,1.0,H,1.0,1.0,D
66,G1,31/10/15,Veria,Olympiakos,0.0,2.0,A,0.0,0.0,D
67,G1,01/11/15,Asteras Tripolis,PAOK,2.0,1.0,H,0.0,1.0,A
68,G1,01/11/15,Giannina,Panthrakikos,2.0,0.0,H,0.0,0.0,D
69,G1,01/11/15,Panathinaikos,AEK,0.0,0.0,D,0.0,0.0,D
70,G1,01/11/15,Xanthi,Panetolikos,3.0,1.0,H,1.0,1.0,D
71,G1,02/11/15,Iraklis,Atromitos,2.0,0.0,H,1.0,0.0,H
72,G1,07/11/15,Atromitos,Panathinaikos,1.0,2.0,A,0.0,0.0,D
73,G1,07/11/15,Kallonis,Xanthi,2.0,2.0,D,1.0,1.0,D
74,G1,07/11/15,Panionios,Platanias,2.0,1.0,H,1.0,0.0,H
75,G1,08/11/15,AEK,Asteras Tripolis,0.0,1.0,A,0.0,0.0,D
76,G1,08/11/15,Levadeiakos,Veria,1.0,1.0,D,0.0,1.0,A
77,G1,08/11/15,Olympiakos,Iraklis,2.0,0.0,H,1.0,0.0,H
78,G1,08/11/15,PAOK,Panthrakikos,3.0,3.0,D,1.0,2.0,A
79,G1,09/11/15,Panetolikos,Giannina,2.0,1.0,H,1.0,0.0,H
80,G1,21/11/15,Asteras Tripolis,Atromitos,1.0,0.0,H,0.0,0.0,D
81,G1,21/11/15,Giannina,Kallonis,2.0,1.0,H,1.0,0.0,H
82,G1,21/11/15,Panathinaikos,Olympiakos,0.0,3.0,A,,,
83,G1,22/11/15,Panthrakikos,AEK,1.0,2.0,A,0.0,1.0,A
84,G1,22/11/15,PAOK,Panetolikos,0.0,0.0,D,0.0,0.0,D
85,G1,22/11/15,Platanias,Levadeiakos,2.0,1.0,H,0.0,0.0,D
86,G1,22/11/15,Xanthi,Panionios,2.0,0.0,H,2.0,0.0,H
87,G1,23/11/15,Veria,Iraklis,0.0,0.0,D,0.0,0.0,D
88,G1,28/11/15,Atromitos,Panthrakikos,1.0,2.0,A,0.0,1.0,A
89,G1,28/11/15,Iraklis,Panathinaikos,1.0,0.0,H,1.0,0.0,H
90,G1,28/11/15,Panionios,Giannina,2.0,0.0,H,2.0,0.0,H
91,G1,29/11/15,AEK,Panetolikos,2.0,0.0,H,1.0,0.0,H
92,G1,29/11/15,Levadeiakos,Xanthi,1.0,0.0,H,1.0,0.0,H
93,G1,29/11/15,Olympiakos,Asteras Tripolis,3.0,1.0,H,0.0,0.0,D
94,G1,29/11/15,Platanias,Veria,0.0,0.0,D,0.0,0.0,D
95,G1,30/11/15,Kallonis,PAOK,1.0,3.0,A,1.0,1.0,D
96,G1,05/12/15,Asteras Tripolis,Iraklis,1.0,2.0,A,1.0,0.0,H
97,G1,05/12/15,Panthrakikos,Olympiakos,3.0,4.0,A,1.0,1.0,D
98,G1,05/12/15,Xanthi,Platanias,0.0,2.0,A,0.0,1.0,A
99,G1,06/12/15,AEK,Kallonis,3.0,0.0,H,2.0,0.0,H
100,G1,06/12/15,Giannina,Levadeiakos,0.0,1.0,A,0.0,0.0,D
101,G1,06/12/15,PAOK,Panionios,2.0,1.0,H,1.0,0.0,H
102,G1,06/12/15,Veria,Panathinaikos,0.0,1.0,A,0.0,0.0,D
103,G1,07/12/15,Panetolikos,Atromitos,1.0,1.0,D,0.0,0.0,D
104,G1,12/12/15,Iraklis,Panthrakikos,0.0,0.0,D,0.0,0.0,D
105,G1,12/12/15,Panionios,AEK,1.0,1.0,D,1.0,0.0,H
106,G1,12/12/15,Platanias,Giannina,0.0,1.0,A,0.0,1.0,A
107,G1,13/12/15,Atromitos,Kallonis,1.0,0.0,H,0.0,0.0,D
108,G1,13/12/15,Olympiakos,Panetolikos,1.0,0.0,H,1.0,0.0,H
109,G1,13/12/15,Panathinaikos,Asteras Tripolis,2.0,0.0,H,0.0,0.0,D
110,G1,13/12/15,Xanthi,Veria,1.0,1.0,D,1.0,1.0,D
111,G1,14/12/15,Levadeiakos,PAOK,0.0,0.0,D,0.0,0.0,D
112,G1,19/12/15,Atromitos,Panionios,1.0,0.0,H,0.0,0.0,D
113,G1,19/12/15,Kallonis,Olympiakos,0.0,2.0,A,0.0,2.0,A
114,G1,19/12/15,Veria,Asteras Tripolis,1.0,0.0,H,1.0,0.0,H
115,G1,20/12/15,Giannina,Xanthi,1.0,1.0,D,0.0,0.0,D
116,G1,20/12/15,Panetolikos,Iraklis,2.0,0.0,H,1.0,0.0,H
117,G1,20/12/15,Panthrakikos,Panathinaikos,1.0,0.0,H,1.0,0.0,H
