,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
0,G1,19/08/17,Asteras Tripolis,Giannina,1,2,A,0.0,2.0,A,14.0,9.0,9.0,4.0,14.0,15.0,3.0,4.0,1.0,3.0,0.0,0.0
1,G1,19/08/17,Olympiakos,Larisa,4,1,H,1.0,0.0,H,16.0,3.0,10.0,1.0,18.0,21.0,6.0,3.0,2.0,2.0,0.0,0.0
2,G1,19/08/17,Xanthi,Lamia,0,0,D,0.0,0.0,D,8.0,4.0,4.0,1.0,17.0,19.0,4.0,4.0,2.0,5.0,0.0,0.0
3,G1,20/08/17,AEK,Panetolikos,2,0,H,1.0,0.0,H,11.0,10.0,5.0,4.0,13.0,16.0,2.0,4.0,2.0,6.0,1.0,1.0
4,G1,20/08/17,Kerkyra,Panionios,0,1,A,0.0,0.0,D,4.0,10.0,1.0,4.0,19.0,16.0,7.0,9.0,4.0,2.0,0.0,0.0
5,G1,20/08/17,Levadeiakos,PAOK,0,0,D,0.0,0.0,D,8.0,17.0,1.0,6.0,13.0,9.0,3.0,6.0,4.0,2.0,0.0,0.0
6,G1,20/08/17,Platanias,Panathinaikos,1,1,D,0.0,0.0,D,7.0,5.0,6.0,2.0,24.0,15.0,3.0,2.0,4.0,1.0,0.0,0.0
7,G1,21/08/17,Atromitos,Apollon,1,1,D,0.0,0.0,D,19.0,6.0,7.0,4.0,20.0,15.0,7.0,3.0,4.0,2.0,0.0,0.0
8,G1,26/08/17,Lamia,Olympiakos,0,1,A,0.0,1.0,A,11.0,7.0,3.0,3.0,15.0,22.0,1.0,5.0,4.0,6.0,0.0,1.0
9,G1,26/08/17,Panetolikos,Atromitos,2,2,D,0.0,1.0,A,7.0,5.0,6.0,2.0,19.0,27.0,5.0,2.0,5.0,3.0,0.0,0.0
10,G1,26/08/17,Platanias,Xanthi,0,2,A,0.0,2.0,A,13.0,6.0,8.0,4.0,20.0,14.0,5.0,5.0,4.0,5.0,0.0,0.0
11,G1,27/08/17,Giannina,AEK,0,0,D,0.0,0.0,D,9.0,5.0,5.0,3.0,17.0,9.0,3.0,2.0,3.0,3.0,0.0,0.0
12,G1,27/08/17,Panathinaikos,Levadeiakos,0,0,D,0.0,0.0,D,11.0,13.0,6.0,5.0,16.0,22.0,4.0,2.0,4.0,2.0,1.0,0.0
13,G1,27/08/17,Panionios,Apollon,2,0,H,1.0,0.0,H,10.0,5.0,8.0,2.0,22.0,10.0,4.0,5.0,1.0,2.0,0.0,0.0
14,G1,27/08/17,PAOK,Kerkyra,3,1,H,1.0,1.0,D,24.0,5.0,12.0,3.0,19.0,7.0,9.0,0.0,2.0,1.0,0.0,0.0
15,G1,28/08/17,Larisa,Asteras Tripolis,1,1,D,0.0,0.0,D,9.0,9.0,3.0,5.0,15.0,21.0,5.0,3.0,1.0,5.0,0.0,0.0
16,G1,09/09/17,Asteras Tripolis,Lamia,1,3,A,0.0,2.0,A,18.0,6.0,9.0,5.0,20.0,21.0,7.0,3.0,5.0,1.0,0.0,0.0
17,G1,09/09/17,Atromitos,Giannina,0,0,D,0.0,0.0,D,18.0,8.0,8.0,3.0,15.0,18.0,6.0,2.0,2.0,3.0,0.0,0.0
18,G1,09/09/17,Xanthi,Olympiakos,1,1,D,1.0,1.0,D,13.0,10.0,6.0,3.0,16.0,18.0,5.0,7.0,6.0,2.0,0.0,0.0
19,G1,10/09/17,AEK,Larisa,4,0,H,2.0,0.0,H,20.0,1.0,11.0,0.0,23.0,15.0,4.0,0.0,1.0,2.0,0.0,1.0
20,G1,10/09/17,Kerkyra,Panathinaikos,1,0,H,1.0,0.0,H,4.0,7.0,2.0,2.0,19.0,12.0,3.0,6.0,2.0,3.0,0.0,0.0
21,G1,10/09/17,Levadeiakos,Platanias,1,1,D,0.0,0.0,D,15.0,7.0,5.0,4.0,21.0,23.0,1.0,5.0,1.0,4.0,0.0,0.0
22,G1,10/09/17,Panionios,Panetolikos,1,1,D,0.0,0.0,D,4.0,6.0,3.0,1.0,20.0,19.0,1.0,4.0,3.0,6.0,0.0,0.0
23,G1,11/09/17,Apollon,PAOK,0,0,D,0.0,0.0,D,12.0,13.0,7.0,6.0,12.0,20.0,5.0,5.0,4.0,5.0,1.0,0.0
24,G1,16/09/17,Levadeiakos,Xanthi,1,0,H,1.0,0.0,H,10.0,10.0,4.0,5.0,19.0,17.0,2.0,6.0,3.0,3.0,0.0,0.0
25,G1,16/09/17,Olympiakos,Asteras Tripolis,1,1,D,0.0,0.0,D,12.0,8.0,3.0,6.0,16.0,23.0,5.0,3.0,3.0,3.0,0.0,0.0
26,G1,16/09/17,PAOK,Panetolikos,1,0,H,0.0,0.0,D,11.0,5.0,8.0,1.0,18.0,19.0,4.0,4.0,1.0,2.0,0.0,0.0
27,G1,17/09/17,Lamia,AEK,0,1,A,0.0,0.0,D,5.0,19.0,2.0,12.0,10.0,21.0,2.0,7.0,4.0,4.0,0.0,0.0
