,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,G1,11/09/2020,16:15,Aris,Lamia,3,1,H,0,1,A,10,6,9,2,15,26,7,0,4,2,0,0
1,G1,11/09/2020,18:30,PAOK,Larisa,1,0,H,1,0,H,15,5,8,1,21,14,9,3,4,4,0,0
2,G1,12/09/2020,16:00,OFI Crete,Panetolikos,1,1,D,0,1,A,3,8,2,4,28,28,1,2,5,1,0,0
3,G1,13/09/2020,16:30,Atromitos,Volos NFC,0,2,A,0,0,D,5,7,2,5,13,22,2,2,3,5,1,0
4,G1,13/09/2020,18:30,Asteras Tripolis,Panathinaikos,1,0,H,0,0,D,8,8,3,5,14,18,1,3,3,4,0,0
5,G1,18/09/2020,17:00,PAOK,Atromitos,1,1,D,0,0,D,10,6,5,1,26,13,7,3,0,4,0,0
6,G1,18/09/2020,18:30,Olympiakos,Asteras Tripolis,3,0,H,0,0,D,14,8,11,3,15,11,4,5,0,2,0,0
7,G1,19/09/2020,18:30,Panetolikos,AEK,0,2,A,0,0,D,2,8,0,5,16,22,1,7,1,6,0,0
8,G1,20/09/2020,16:15,Lamia,OFI Crete,1,2,A,0,1,A,11,4,3,2,13,17,4,4,2,3,0,0
9,G1,20/09/2020,18:30,Volos NFC,Aris,0,1,A,0,1,A,4,9,1,5,19,15,2,6,5,3,0,0
10,G1,26/09/2020,16:30,Volos NFC,PAOK,0,0,D,0,0,D,5,12,3,6,18,17,2,5,4,0,0,0
11,G1,26/09/2020,18:30,Olympiakos,Panetolikos,2,0,H,0,0,D,10,3,4,2,15,12,8,5,1,1,0,0
12,G1,27/09/2020,14:00,Aris,Giannina,2,2,D,0,2,A,10,6,6,3,19,25,4,3,4,5,0,0
13,G1,27/09/2020,16:00,OFI Crete,Atromitos,2,2,D,0,1,A,11,10,8,4,17,18,4,3,3,4,0,1
14,G1,27/09/2020,18:30,AEK,Lamia,3,0,H,1,0,H,17,8,12,7,18,17,7,5,1,1,0,0
15,G1,28/09/2020,17:30,Larisa,Panathinaikos,1,1,D,0,1,A,3,6,3,2,14,23,3,4,2,3,0,0
16,G1,03/10/2020,17:30,Panetolikos,Asteras Tripolis,1,1,D,0,1,A,6,10,4,4,11,21,3,15,0,1,1,0
17,G1,04/10/2020,14:00,Panathinaikos,Aris,0,1,A,0,1,A,8,6,2,3,19,11,8,2,2,3,0,0
18,G1,04/10/2020,16:15,Apollon,Larisa,1,0,H,0,0,D,7,10,4,6,18,9,3,6,2,4,0,0
19,G1,04/10/2020,16:15,PAOK,OFI Crete,3,0,H,1,0,H,11,8,7,5,21,13,8,4,2,4,0,0
20,G1,04/10/2020,18:30,Giannina,Olympiakos,1,1,D,1,0,H,7,10,7,3,19,15,4,7,2,2,0,0
21,G1,04/10/2020,19:45,Atromitos,AEK,1,0,H,1,0,H,9,5,6,1,12,21,2,0,2,2,0,1
22,G1,05/10/2020,17:30,Lamia,Volos NFC,1,2,A,0,1,A,5,6,5,5,23,21,0,4,3,3,0,0
23,G1,17/10/2020,14:00,Volos NFC,Giannina,2,1,H,0,1,A,10,7,4,3,18,19,4,4,2,3,0,0
24,G1,17/10/2020,16:15,Aris,Apollon,1,0,H,1,0,H,6,2,3,0,17,19,0,4,2,3,0,0
25,G1,17/10/2020,18:30,Olympiakos,Atromitos,4,0,H,0,0,D,12,7,4,1,18,9,6,1,3,0,0,1
26,G1,18/10/2020,14:00,OFI Crete,Panathinaikos,2,2,D,1,0,H,8,12,5,10,20,19,9,5,1,2,0,0
27,G1,18/10/2020,16:15,Larisa,Asteras Tripolis,1,3,A,0,1,A,12,10,7,5,11,21,5,5,4,5,0,0
28,G1,18/10/2020,18:30,AEK,PAOK,1,1,D,1,0,H,2,13,2,4,14,13,2,2,4,1,0,0
29,G1,19/10/2020,17:30,Lamia,Panetolikos,0,0,D,0,0,D,7,3,6,1,19,21,4,3,5,3,1,0
30,G1,21/10/2020,15:15,Apollon,Giannina,1,2,A,0,2,A,8,11,5,4,18,23,3,3,4,4,0,0
31,G1,24/10/2020,18:30,Panathinaikos,Volos NFC,1,1,D,0,0,D,7,10,3,5,21,12,9,5,3,3,0,0
32,G1,25/10/2020,14:00,Asteras Tripolis,OFI Crete,1,0,H,0,0,D,4,4,3,3,21,24,5,5,4,5,0,1
33,G1,25/10/2020,18:30,Giannina,AEK,0,1,A,0,1,A,7,8,1,5,14,22,3,3,4,5,0,0
34,G1,26/10/2020,17:30,Atromitos,Panetolikos,2,0,H,1,0,H,5,2,3,1,17,22,4,7,2,1,0,1
35,G1,31/10/2020,13:00,Olympiakos,Apollon,2,0,H,0,0,D,12,11,10,5,22,8,11,7,1,2,0,0
36,G1,31/10/2020,15:15,Atromitos,Giannina,0,2,A,0,1,A,3,9,1,5,26,36,0,5,3,3,0,0
37,G1,31/10/2020,15:15,Volos NFC,Larisa,1,1,D,0,0,D,8,9,5,4,21,18,3,2,4,4,2,0
38,G1,31/10/2020,17:30,Lamia,Panathinaikos,0,2,A,0,1,A,4,11,0,6,16,20,1,9,1,3,0,0
39,G1,01/11/2020,13:00,Aris,Asteras Tripolis,1,0,H,0,0,D,9,4,6,3,17,19,6,3,4,3,0,0
40,G1,01/11/2020,15:15,Panetolikos,PAOK,1,3,A,0,1,A,4,11,2,9,16,22,0,9,3,6,0,0
41,G1,01/11/2020,17:30,AEK,OFI Crete,2,1,H,1,1,D,13,6,8,3,20,14,4,0,1,0,0,0
42,G1,03/11/2020,15:15,Panathinaikos,Apollon,1,0,H,1,0,H,4,4,1,2,22,19,5,4,4,6,1,0
43,G1,04/11/2020,15:15,Giannina,Larisa,1,2,A,0,0,D,7,6,3,5,15,15,0,5,4,4,1,0
44,G1,07/11/2020,15:15,Giannina,Panetolikos,0,0,D,0,0,D,9,3,3,1,15,22,7,2,2,2,0,0
45,G1,07/11/2020,17:30,Panathinaikos,Atromitos,0,1,A,0,0,D,8,6,3,2,19,14,3,5,2,1,0,0
46,G1,08/11/2020,13:00,OFI Crete,Olympiakos,0,2,A,0,0,D,4,9,1,6,15,14,3,6,3,3,0,0
47,G1,08/11/2020,15:15,Apollon,PAOK,1,3,A,0,1,A,5,9,1,8,16,17,7,4,5,1,0,0
48,G1,21/11/2020,13:00,Lamia,Asteras Tripolis,2,2,D,0,1,A,6,6,4,2,20,17,3,5,2,3,0,0
49,G1,21/11/2020,15:15,Atromitos,Apollon,2,2,D,1,1,D,11,7,6,6,25,19,13,2,4,4,0,0
50,G1,21/11/2020,17:30,Olympiakos,Panathinaikos,1,0,H,1,0,H,6,6,3,1,22,16,3,5,3,3,0,0
51,G1,22/11/2020,13:00,AEK,Larisa,4,1,H,0,0,D,10,1,5,1,11,15,11,2,2,1,0,0
52,G1,22/11/2020,15:15,Panetolikos,Aris,0,1,A,0,1,A,6,5,3,3,13,18,7,4,2,4,0,0
53,G1,22/11/2020,17:30,PAOK,Giannina,2,1,H,0,1,A,15,2,7,1,16,15,13,1,4,4,0,1
54,G1,23/11/2020,17:30,Volos NFC,OFI Crete,1,4,A,0,1,A,9,12,6,7,14,14,7,5,1,4,1,0
55,G1,25/11/2020,15:15,Asteras Tripolis,Apollon,0,0,D,0,0,D,10,3,3,2,24,17,3,9,1,3,0,0
56,G1,28/11/2020,15:15,Larisa,Atromitos,0,0,D,0,0,D,6,5,3,2,26,13,5,3,3,0,0,0
57,G1,28/11/2020,17:30,Aris,Olympiakos,1,2,A,0,1,A,7,7,3,5,15,19,7,1,0,3,0,0
58,G1,29/11/2020,13:00,Panathinaikos,Panetolikos,2,1,H,2,0,H,5,2,5,1,30,13,4,3,5,2,0,0
59,G1,29/11/2020,15:00,OFI Crete,Giannina,2,1,H,1,1,D,4,7,3,1,18,27,3,7,3,2,0,0
60,G1,29/11/2020,15:15,Lamia,PAOK,0,2,A,0,1,A,5,10,1,4,18,26,1,3,2,2,0,0
61,G1,29/11/2020,17:30,Asteras Tripolis,AEK,1,2,A,1,1,D,4,10,1,5,22,14,2,2,1,2,0,0
62,G1,30/11/2020,17:30,Apollon,Volos NFC,3,3,D,1,0,H,16,6,10,3,20,22,2,8,4,3,0,0
63,G1,02/12/2020,15:15,Larisa,Aris,0,3,A,0,1,A,8,9,5,6,21,22,7,6,4,1,0,0
64,G1,05/12/2020,15:15,Atromitos,Aris,2,2,D,1,0,H,5,6,3,3,30,10,1,3,4,2,0,1
65,G1,05/12/2020,17:30,Olympiakos,Volos NFC,4,1,H,1,1,D,15,5,7,3,13,17,6,2,1,1,0,0
66,G1,06/12/2020,13:00,OFI Crete,Apollon,0,2,A,0,1,A,15,6,7,4,13,25,7,4,2,4,0,0
67,G1,06/12/2020,15:15,Giannina,Lamia,2,0,H,1,0,H,6,3,2,1,16,16,10,4,4,6,0,0
68,G1,06/12/2020,15:15,PAOK,Asteras Tripolis,2,0,H,0,0,D,6,4,2,1,17,25,5,4,6,5,1,0
69,G1,06/12/2020,17:30,AEK,Panathinaikos,1,2,A,0,2,A,7,7,2,4,19,17,9,2,3,5,0,0
70,G1,07/12/2020,17:30,Panetolikos,Larisa,2,1,H,1,0,H,4,10,3,6,15,17,1,7,4,6,0,0
71,G1,09/12/2020,15:15,Asteras Tripolis,Volos NFC,1,1,D,1,0,H,4,5,2,1,22,19,5,1,5,4,0,1
72,G1,12/12/2020,15:15,Larisa,OFI Crete,0,1,A,0,0,D,5,10,1,3,24,16,2,5,5,2,0,0
73,G1,12/12/2020,17:30,Panathinaikos,Giannina,2,0,H,1,0,H,8,12,6,4,17,22,5,1,4,3,0,0
74,G1,13/12/2020,13:00,Lamia,Olympiakos,0,6,A,0,3,A,6,11,2,9,12,16,3,9,3,1,1,0
75,G1,13/12/2020,15:15,Apollon,AEK,3,4,A,1,3,A,6,9,3,9,21,25,2,7,2,3,0,0
76,G1,13/12/2020,15:15,Volos NFC,Panetolikos,0,0,D,0,0,D,14,0,5,0,26,15,10,4,2,3,0,1
77,G1,13/12/2020,17:30,Aris,PAOK,1,0,H,1,0,H,5,8,3,3,17,16,0,5,2,3,0,0
78,G1,14/12/2020,17:30,Asteras Tripolis,Atromitos,2,0,H,1,0,H,17,2,9,1,11,19,4,3,2,2,0,0
79,G1,16/12/2020,17:30,AEK,Olympiakos,1,1,D,0,0,D,7,7,3,3,17,12,9,4,2,0,0,0
80,G1,19/12/2020,15:15,Panetolikos,Apollon,0,1,A,0,1,A,5,3,3,3,16,23,3,2,2,3,0,0
81,G1,19/12/2020,17:30,OFI Crete,Aris,0,3,A,0,2,A,10,6,1,3,18,23,5,3,3,3,0,0
82,G1,20/12/2020,13:00,Olympiakos,Larisa,5,1,H,2,1,H,12,5,9,3,17,8,8,3,0,1,0,0
83,G1,20/12/2020,17:30,PAOK,Panathinaikos,2,1,H,1,1,D,12,7,4,3,21,21,6,1,6,2,0,0
84,G1,21/12/2020,15:15,Giannina,Asteras Tripolis,2,2,D,1,1,D,6,13,2,7,10,16,2,2,1,4,1,0
85,G1,21/12/2020,17:30,AEK,Volos NFC,2,2,D,1,2,A,10,6,5,3,21,23,9,5,4,3,2,1
86,G1,03/01/2021,13:00,Panathinaikos,Asteras Tripolis,0,0,D,0,0,D,3,7,1,3,19,20,2,3,4,3,0,0
87,G1,03/01/2021,13:00,Panetolikos,OFI Crete,2,1,H,0,0,D,6,9,4,4,19,21,7,3,3,5,0,1
88,G1,03/01/2021,15:15,Giannina,Apollon,1,3,A,1,1,D,6,8,2,5,21,24,4,2,2,4,0,0
89,G1,03/01/2021,15:15,Larisa,PAOK,1,1,D,0,0,D,6,14,4,8,19,19,2,12,3,2,0,0
90,G1,03/01/2021,17:30,Olympiakos,AEK,3,0,H,1,0,H,7,5,3,3,11,18,3,1,3,2,0,0
91,G1,04/01/2021,15:15,Volos NFC,Atromitos,1,0,H,1,0,H,5,11,2,6,18,15,7,3,4,2,0,0
92,G1,04/01/2021,17:30,Lamia,Aris,2,0,H,2,0,H,3,7,3,3,29,16,4,5,2,5,0,1
93,G1,06/01/2021,13:00,Apollon,Panathinaikos,0,1,A,0,1,A,8,3,6,2,18,19,3,3,4,5,0,1
94,G1,06/01/2021,15:15,AEK,Panetolikos,1,0,H,1,0,H,10,2,6,1,21,18,5,2,2,3,0,0
95,G1,06/01/2021,15:15,Larisa,Giannina,0,0,D,0,0,D,5,8,1,3,19,26,3,4,2,2,0,0
96,G1,06/01/2021,17:30,Asteras Tripolis,Olympiakos,0,4,A,0,2,A,6,10,0,7,15,18,1,2,2,2,0,0
97,G1,07/01/2021,15:15,Aris,Volos NFC,2,0,H,1,0,H,9,1,5,0,19,30,3,3,2,3,0,0
98,G1,07/01/2021,15:15,OFI Crete,Lamia,2,0,H,1,0,H,9,6,4,4,24,24,4,1,3,1,0,0
99,G1,07/01/2021,17:30,Atromitos,PAOK,3,2,H,0,1,A,12,6,9,4,19,29,2,4,4,4,0,0
100,G1,09/01/2021,17:30,Panetolikos,Olympiakos,1,2,A,0,1,A,6,9,5,5,16,18,2,4,2,1,0,0
101,G1,10/01/2021,13:00,PAOK,Volos NFC,3,1,H,1,1,D,12,6,7,4,19,18,5,3,3,4,0,0
102,G1,10/01/2021,15:15,Apollon,Asteras Tripolis,0,1,A,0,1,A,6,3,4,2,22,25,7,3,2,4,0,0
103,G1,10/01/2021,15:15,Atromitos,OFI Crete,0,0,D,0,0,D,13,6,5,4,19,18,0,7,3,4,0,1
104,G1,10/01/2021,17:30,Panathinaikos,Larisa,2,0,H,1,0,H,8,6,7,3,24,20,1,4,2,3,0,0
105,G1,11/01/2021,15:15,Giannina,Aris,0,0,D,0,0,D,6,8,1,3,19,20,4,6,3,2,0,0
106,G1,11/01/2021,17:30,Lamia,AEK,0,1,A,0,1,A,2,7,0,5,30,17,1,2,3,1,0,1
107,G1,13/01/2021,17:30,PAOK,Olympiakos,1,1,D,0,0,D,17,6,7,4,15,14,4,5,3,1,0,0
