,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,I1,30/09/00,Bari,Verona,1,1,D,0,0,D
1,I1,30/09/00,Napoli,Juventus,1,2,A,1,0,H
2,I1,01/10/00,Atalanta,Lazio,2,2,D,1,1,D
3,I1,01/10/00,Milan,Vicenza,2,0,H,1,0,H
4,I1,01/10/00,Parma,Fiorentina,2,2,D,1,0,H
5,I1,01/10/00,Perugia,Lecce,1,1,D,0,1,A
6,I1,01/10/00,Reggina,Inter,2,1,H,1,1,D
7,I1,01/10/00,Roma,Bologna,2,0,H,1,0,H
8,I1,01/10/00,Udinese,Brescia,4,2,H,1,0,H
9,I1,14/10/00,Inter,Napoli,3,1,H,3,0,H
10,I1,14/10/00,Lazio,Perugia,3,0,H,1,0,H
11,I1,15/10/00,Bologna,Milan,2,1,H,1,0,H
12,I1,15/10/00,Brescia,Parma,0,0,D,0,0,D
13,I1,15/10/00,Fiorentina,Reggina,2,1,H,0,0,D
14,I1,15/10/00,Juventus,Bari,2,0,H,1,0,H
15,I1,15/10/00,Lecce,Roma,0,4,A,0,2,A
16,I1,15/10/00,Verona,Udinese,1,1,D,0,0,D
17,I1,15/10/00,Vicenza,Atalanta,1,2,A,0,0,D
18,I1,21/10/00,Milan,Juventus,2,2,D,0,0,D
19,I1,21/10/00,Udinese,Inter,3,0,H,1,0,H
20,I1,22/10/00,Bari,Atalanta,0,2,A,0,0,D
21,I1,22/10/00,Brescia,Fiorentina,1,1,D,0,0,D
22,I1,22/10/00,Napoli,Bologna,1,5,A,0,2,A
23,I1,22/10/00,Perugia,Parma,3,1,H,3,0,H
24,I1,22/10/00,Reggina,Lecce,0,1,A,0,1,A
25,I1,22/10/00,Roma,Vicenza,3,1,H,1,0,H
26,I1,22/10/00,Verona,Lazio,2,0,H,0,0,D
27,I1,01/11/00,Atalanta,Verona,3,0,H,2,0,H
28,I1,01/11/00,Bologna,Reggina,2,0,H,0,0,D
29,I1,01/11/00,Fiorentina,Bari,2,2,D,1,0,H
30,I1,01/11/00,Inter,Roma,2,0,H,1,0,H
31,I1,01/11/00,Juventus,Udinese,1,2,A,0,1,A
32,I1,01/11/00,Lazio,Brescia,2,1,H,1,1,D
33,I1,01/11/00,Lecce,Napoli,1,1,D,0,0,D
34,I1,01/11/00,Parma,Milan,2,0,H,1,0,H
35,I1,01/11/00,Vicenza,Perugia,1,0,H,0,0,D
36,I1,04/11/00,Fiorentina,Perugia,3,4,A,2,1,H
37,I1,04/11/00,Lazio,Bologna,2,0,H,1,0,H
38,I1,05/11/00,Bari,Parma,0,1,A,0,0,D
39,I1,05/11/00,Brescia,Roma,2,4,A,2,1,H
40,I1,05/11/00,Milan,Atalanta,3,3,D,1,3,A
41,I1,05/11/00,Napoli,Vicenza,1,2,A,1,1,D
42,I1,05/11/00,Reggina,Juventus,0,2,A,0,1,A
43,I1,05/11/00,Udinese,Lecce,2,0,H,0,0,D
44,I1,05/11/00,Verona,Inter,2,2,D,2,1,H
45,I1,11/11/00,Atalanta,Brescia,2,0,H,1,0,H
46,I1,11/11/00,Juventus,Lazio,1,1,D,1,1,D
47,I1,12/11/00,Bari,Milan,1,3,A,0,0,D
48,I1,12/11/00,Bologna,Fiorentina,1,1,D,1,0,H
49,I1,12/11/00,Inter,Lecce,0,1,A,0,1,A
50,I1,12/11/00,Parma,Udinese,2,0,H,0,0,D
51,I1,12/11/00,Perugia,Napoli,1,1,D,0,1,A
52,I1,12/11/00,Roma,Reggina,2,1,H,1,0,H
53,I1,12/11/00,Vicenza,Verona,2,2,D,0,0,D
54,I1,18/11/00,Inter,Perugia,2,1,H,1,1,D
55,I1,18/11/00,Lazio,Milan,1,1,D,1,0,H
56,I1,19/11/00,Bologna,Parma,2,1,H,0,0,D
57,I1,19/11/00,Brescia,Juventus,0,0,D,0,0,D
58,I1,19/11/00,Fiorentina,Vicenza,3,2,H,1,2,A
59,I1,19/11/00,Lecce,Bari,2,0,H,1,0,H
60,I1,19/11/00,Napoli,Atalanta,0,0,D,0,0,D
61,I1,19/11/00,Udinese,Reggina,3,0,H,2,0,H
62,I1,19/11/00,Verona,Roma,1,4,A,1,2,A
63,I1,25/11/00,Atalanta,Lecce,1,0,H,1,0,H
64,I1,25/11/00,Milan,Napoli,1,0,H,1,0,H
65,I1,26/11/00,Bari,Udinese,2,1,H,0,0,D
66,I1,26/11/00,Juventus,Verona,2,1,H,1,0,H
67,I1,26/11/00,Parma,Lazio,2,0,H,1,0,H
68,I1,26/11/00,Perugia,Bologna,1,3,A,0,2,A
69,I1,26/11/00,Reggina,Brescia,0,3,A,0,0,D
70,I1,26/11/00,Roma,Fiorentina,1,0,H,0,0,D
71,I1,26/11/00,Vicenza,Inter,0,0,D,0,0,D
72,I1,02/12/00,Lazio,Reggina,2,0,H,1,0,H
73,I1,02/12/00,Parma,Atalanta,2,0,H,1,0,H
74,I1,03/12/00,Bologna,Vicenza,1,1,D,1,1,D
75,I1,03/12/00,Inter,Juventus,2,2,D,1,2,A
76,I1,03/12/00,Lecce,Fiorentina,1,1,D,1,0,H
77,I1,03/12/00,Napoli,Bari,1,0,H,1,0,H
78,I1,03/12/00,Perugia,Roma,0,0,D,0,0,D
