,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,I1,27/08/05,Fiorentina,Sampdoria,2,1,H,2,0,H,G. Paparesta,15.0,9.0,9.0,4.0,18.0,23.0,9.0,3.0,1,4,0,0
1,I1,27/08/05,Livorno,Lecce,2,1,H,1,1,D,G. Rocchi,17.0,6.0,7.0,5.0,27.0,21.0,9.0,2.0,2,3,0,0
2,I1,28/08/05,Ascoli,Milan,1,1,D,0,0,D,M. De Santis,8.0,16.0,3.0,9.0,22.0,16.0,0.0,5.0,2,1,0,0
3,I1,28/08/05,Inter,Treviso,3,0,H,1,0,H,P. Tagliavento,16.0,7.0,9.0,3.0,13.0,20.0,6.0,1.0,1,3,0,0
4,I1,28/08/05,Juventus,Chievo,1,0,H,1,0,H,M. Trefoloni,16.0,2.0,7.0,0.0,16.0,12.0,6.0,2.0,1,2,0,0
5,I1,28/08/05,Lazio,Messina,1,0,H,1,0,H,P. Dondarini,7.0,16.0,4.0,7.0,18.0,20.0,6.0,10.0,3,1,0,0
6,I1,28/08/05,Parma,Palermo,1,1,D,0,1,A,T. Pieri,8.0,14.0,3.0,9.0,18.0,9.0,3.0,8.0,3,0,0,0
7,I1,28/08/05,Reggina,Roma,0,3,A,0,1,A,R. Rosetti,5.0,13.0,3.0,9.0,19.0,18.0,2.0,4.0,0,0,1,0
8,I1,28/08/05,Siena,Cagliari,2,1,H,1,1,D,C. Brighi,10.0,9.0,6.0,6.0,21.0,19.0,4.0,4.0,2,2,1,0
9,I1,28/08/05,Udinese,Empoli,1,0,H,1,0,H,A. De Marco,12.0,8.0,8.0,4.0,20.0,12.0,6.0,5.0,2,1,0,0
10,I1,10/09/05,Milan,Siena,3,1,H,2,1,H,S. Farina,21.0,7.0,11.0,3.0,7.0,16.0,3.0,4.0,1,2,0,0
11,I1,10/09/05,Palermo,Inter,3,2,H,1,0,H,G. Paparesta,24.0,15.0,13.0,6.0,15.0,14.0,9.0,6.0,2,1,0,0
12,I1,11/09/05,Cagliari,Lazio,1,1,D,1,1,D,P. Bertini,9.0,6.0,3.0,3.0,12.0,16.0,6.0,6.0,2,2,1,0
13,I1,11/09/05,Chievo,Parma,1,0,H,1,0,H,O. Girardi,12.0,5.0,8.0,2.0,16.0,15.0,9.0,2.0,1,1,0,0
14,I1,11/09/05,Empoli,Juventus,0,4,A,0,3,A,A. Dattilo,9.0,13.0,1.0,8.0,16.0,23.0,3.0,6.0,1,0,0,0
