,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,I1,22/08/09,Bologna,Fiorentina,1,1,D,1,0,H,6,17,4,5,17,20,4,9,1,1,0,0
1,I1,22/08/09,Siena,Milan,1,2,A,1,1,D,15,13,4,5,22,11,5,8,2,1,0,0
2,I1,23/08/09,Catania,Sampdoria,1,2,A,1,1,D,8,8,4,4,29,13,11,4,4,2,1,0
3,I1,23/08/09,Genoa,Roma,3,2,H,0,0,D,14,11,7,6,20,13,8,5,5,2,0,0
4,I1,23/08/09,Inter,Bari,1,1,D,0,0,D,20,13,3,4,20,14,10,1,3,2,0,0
5,I1,23/08/09,Juventus,Chievo,1,0,H,1,0,H,14,6,2,0,15,14,9,2,3,2,0,0
6,I1,23/08/09,Lazio,Atalanta,1,0,H,1,0,H,12,15,3,4,21,17,3,9,3,3,0,0
7,I1,23/08/09,Livorno,Cagliari,0,0,D,0,0,D,21,10,5,3,16,13,4,5,1,1,0,0
8,I1,23/08/09,Palermo,Napoli,2,1,H,1,0,H,9,15,4,4,20,10,4,10,4,2,0,0
9,I1,23/08/09,Udinese,Parma,2,2,D,1,1,D,14,13,6,5,15,19,7,3,3,3,0,0
10,I1,29/08/09,Bari,Bologna,0,0,D,0,0,D,10,16,1,3,16,19,2,2,0,0,1,0
11,I1,29/08/09,Milan,Inter,0,4,A,0,3,A,10,19,2,7,14,16,2,4,2,2,1,0
12,I1,30/08/09,Atalanta,Genoa,0,1,A,0,1,A,18,7,5,3,20,24,6,2,3,2,0,0
13,I1,30/08/09,Cagliari,Siena,1,3,A,0,0,D,10,11,4,6,11,27,5,6,1,4,0,0
14,I1,30/08/09,Chievo,Lazio,1,2,A,1,1,D,16,11,4,3,34,22,11,3,4,3,0,1
15,I1,30/08/09,Fiorentina,Palermo,1,0,H,1,0,H,22,11,4,3,22,14,4,7,2,2,0,0
16,I1,30/08/09,Napoli,Livorno,3,1,H,2,0,H,15,16,5,6,12,12,5,5,1,1,0,1
17,I1,30/08/09,Parma,Catania,2,1,H,1,1,D,17,9,9,4,18,26,8,8,1,3,0,0
18,I1,30/08/09,Roma,Juventus,1,3,A,1,1,D,10,25,4,10,19,18,7,9,3,4,0,0
19,I1,30/08/09,Sampdoria,Udinese,3,1,H,2,0,H,22,11,7,5,16,26,8,6,1,4,0,0
20,I1,12/09/09,Lazio,Juventus,0,2,A,0,0,D,12,16,5,7,11,26,6,3,0,4,0,0
21,I1,12/09/09,Livorno,Milan,0,0,D,0,0,D,14,15,6,4,16,14,8,4,3,1,0,0
22,I1,13/09/09,Atalanta,Sampdoria,0,1,A,0,0,D,26,8,9,3,22,19,10,1,1,3,0,1
23,I1,13/09/09,Bologna,Chievo,0,2,A,0,2,A,13,13,3,5,20,19,5,2,2,1,0,0
24,I1,13/09/09,Fiorentina,Cagliari,1,0,H,0,0,D,17,5,2,1,19,14,5,2,1,2,0,0
25,I1,13/09/09,Genoa,Napoli,4,1,H,1,1,D,13,15,7,4,13,20,3,3,1,4,1,2
26,I1,13/09/09,Inter,Parma,2,0,H,0,0,D,25,8,9,1,14,18,4,5,3,1,0,0
27,I1,13/09/09,Palermo,Bari,1,1,D,0,1,A,28,9,10,4,16,12,8,1,5,0,0,0
28,I1,13/09/09,Siena,Roma,1,2,A,1,0,H,9,17,2,4,20,15,5,13,1,3,1,0
29,I1,13/09/09,Udinese,Catania,4,2,H,1,2,A,15,11,8,2,19,26,10,2,1,4,0,0
30,I1,19/09/09,Juventus,Livorno,2,0,H,2,0,H,15,18,4,8,16,12,1,9,0,2,0,0
31,I1,19/09/09,Napoli,Udinese,0,0,D,0,0,D,25,14,6,4,16,11,12,3,0,2,0,0
32,I1,20/09/09,Bari,Atalanta,4,1,H,3,0,H,15,9,8,3,6,13,2,4,1,2,0,0
33,I1,20/09/09,Cagliari,Inter,1,2,A,1,0,H,17,18,4,5,20,23,4,4,2,3,0,0
34,I1,20/09/09,Catania,Lazio,1,1,D,1,0,H,12,16,2,3,29,14,6,4,3,0,0,0
35,I1,20/09/09,Chievo,Genoa,3,1,H,2,0,H,11,12,7,5,23,13,2,8,2,3,0,0
36,I1,20/09/09,Milan,Bologna,1,0,H,0,0,D,22,3,4,1,11,15,13,3,1,3,0,0
37,I1,20/09/09,Parma,Palermo,1,0,H,1,0,H,12,15,3,6,16,27,6,6,1,2,0,0
38,I1,20/09/09,Roma,Fiorentina,3,1,H,3,0,H,19,16,9,5,17,18,5,6,0,3,0,0
39,I1,20/09/09,Sampdoria,Siena,4,1,H,2,0,H,13,14,9,5,16,25,3,10,3,2,0,0
40,I1,23/09/09,Atalanta,Catania,0,0,D,0,0,D,10,9,4,1,20,21,7,5,5,4,0,0
41,I1,23/09/09,Bari,Cagliari,0,1,A,0,0,D,5,12,3,3,11,23,4,4,2,3,0,0
42,I1,23/09/09,Bologna,Livorno,2,0,H,1,0,H,10,11,3,4,22,20,5,2,1,1,0,0
43,I1,23/09/09,Fiorentina,Sampdoria,2,0,H,1,0,H,21,6,10,3,19,13,8,5,1,2,0,0
44,I1,23/09/09,Inter,Napoli,3,1,H,3,1,H,13,12,7,4,10,16,5,8,2,2,0,0
45,I1,23/09/09,Lazio,Parma,1,2,A,1,2,A,11,18,6,4,16,24,1,2,3,0,1,0
46,I1,23/09/09,Palermo,Roma,3,3,D,2,2,D,16,20,6,7,24,10,4,8,4,2,0,0
47,I1,23/09/09,Siena,Chievo,0,0,D,0,0,D,13,13,3,3,14,13,4,6,3,0,0,0
48,I1,23/09/09,Udinese,Milan,1,0,H,1,0,H,13,18,6,4,11,14,3,6,2,2,0,1
49,I1,24/09/09,Genoa,Juventus,2,2,D,1,1,D,11,17,3,8,22,33,3,8,2,2,0,0
50,I1,26/09/09,Livorno,Fiorentina,0,1,A,0,0,D,12,13,5,4,19,26,7,3,2,2,0,1
51,I1,26/09/09,Sampdoria,Inter,1,0,H,0,0,D,7,13,2,3,14,19,3,7,5,1,0,0
52,I1,27/09/09,Catania,Roma,1,1,D,1,0,H,12,13,5,3,20,13,7,2,5,2,1,0
53,I1,27/09/09,Chievo,Atalanta,1,1,D,0,0,D,21,11,8,4,15,11,10,5,0,2,0,0
54,I1,27/09/09,Juventus,Bologna,1,1,D,1,0,H,21,16,5,4,17,16,9,3,0,2,0,0
55,I1,27/09/09,Lazio,Palermo,1,1,D,0,0,D,28,8,12,1,14,20,14,0,3,3,0,0
56,I1,27/09/09,Milan,Bari,0,0,D,0,0,D,12,17,5,5,11,13,5,4,1,2,0,0
57,I1,27/09/09,Napoli,Siena,2,1,H,0,0,D,12,4,5,2,15,18,0,3,2,5,0,0
58,I1,27/09/09,Parma,Cagliari,0,2,A,0,1,A,7,10,1,6,18,16,10,0,3,3,0,0
59,I1,27/09/09,Udinese,Genoa,2,0,H,0,0,D,12,9,7,0,22,20,5,4,3,1,0,0
60,I1,03/10/09,Bari,Catania,0,0,D,0,0,D,7,11,2,2,13,24,2,3,0,5,0,0
61,I1,03/10/09,Inter,Udinese,2,1,H,1,1,D,22,13,7,4,15,18,4,3,2,4,0,0
62,I1,04/10/09,Atalanta,Milan,1,1,D,1,0,H,7,13,1,5,14,16,2,4,4,3,1,0
63,I1,04/10/09,Bologna,Genoa,1,3,A,0,2,A,19,9,5,5,18,20,8,2,3,1,0,1
64,I1,04/10/09,Cagliari,Chievo,1,2,A,1,1,D,5,10,2,5,18,17,7,6,2,2,0,0
65,I1,04/10/09,Fiorentina,Lazio,0,0,D,0,0,D,24,14,10,5,20,12,9,5,0,3,0,0
66,I1,04/10/09,Palermo,Juventus,2,0,H,2,0,H,24,16,8,0,17,16,7,4,2,4,0,0
67,I1,04/10/09,Roma,Napoli,2,1,H,1,1,D,15,9,3,2,17,20,5,3,2,2,0,0
68,I1,04/10/09,Sampdoria,Parma,1,1,D,1,1,D,16,10,3,4,10,25,7,2,1,4,0,0
69,I1,04/10/09,Siena,Livorno,0,0,D,0,0,D,22,5,6,1,23,10,11,1,1,1,0,1
70,I1,17/10/09,Genoa,Inter,0,5,A,0,3,A,5,13,2,6,16,17,6,2,2,3,1,0
71,I1,17/10/09,Juventus,Fiorentina,1,1,D,1,1,D,17,18,7,6,12,19,3,9,2,2,0,0
72,I1,18/10/09,Catania,Cagliari,2,1,H,1,1,D,10,5,2,1,21,26,6,1,2,3,0,0
73,I1,18/10/09,Chievo,Bari,1,2,A,0,1,A,27,13,9,5,19,23,10,1,4,3,0,0
74,I1,18/10/09,Lazio,Sampdoria,1,1,D,1,1,D,20,16,7,9,22,18,2,5,1,0,1,1
75,I1,18/10/09,Livorno,Palermo,1,2,A,0,0,D,18,8,4,2,13,14,2,0,1,3,0,0
76,I1,18/10/09,Milan,Roma,2,1,H,0,1,A,12,20,5,9,22,25,8,7,4,4,1,0
77,I1,18/10/09,Napoli,Bologna,2,1,H,0,1,A,22,8,7,3,14,21,10,4,3,3,0,0
78,I1,18/10/09,Parma,Siena,1,0,H,1,0,H,20,7,9,1,18,18,8,3,4,2,0,1
79,I1,18/10/09,Udinese,Atalanta,1,3,A,1,1,D,20,12,5,5,21,15,14,0,2,1,0,0
80,I1,24/10/09,Inter,Catania,2,1,H,2,0,H,10,13,5,6,16,22,6,3,2,3,0,0
81,I1,24/10/09,Sampdoria,Bologna,4,1,H,4,0,H,13,9,7,1,20,16,7,4,2,2,0,1
82,I1,25/10/09,Atalanta,Parma,3,1,H,1,0,H,15,19,5,7,21,24,3,7,2,2,0,0
83,I1,25/10/09,Bari,Lazio,2,0,H,1,0,H,18,7,5,3,15,18,3,6,3,2,0,1
84,I1,25/10/09,Cagliari,Genoa,3,2,H,0,1,A,16,5,6,3,18,21,6,3,3,4,0,1
85,I1,25/10/09,Chievo,Milan,1,2,A,1,0,H,9,22,3,10,11,9,6,7,2,1,0,0
86,I1,25/10/09,Fiorentina,Napoli,0,1,A,0,0,D,18,11,4,7,21,15,5,4,3,4,0,0
87,I1,25/10/09,Palermo,Udinese,1,0,H,0,0,D,15,21,7,7,14,13,7,11,2,2,0,0
88,I1,25/10/09,Roma,Livorno,0,1,A,0,1,A,29,9,5,2,16,16,8,2,1,2,0,1
89,I1,25/10/09,Siena,Juventus,0,1,A,0,0,D,6,12,2,1,13,21,2,4,1,2,0,0
90,I1,28/10/09,Bologna,Siena,2,1,H,1,0,H,8,19,3,8,26,19,1,8,3,1,0,0
91,I1,28/10/09,Catania,Chievo,1,2,A,1,1,D,17,8,2,4,20,23,7,6,2,3,1,0
92,I1,28/10/09,Genoa,Fiorentina,2,1,H,1,0,H,10,11,5,5,20,18,0,4,2,1,0,0
93,I1,28/10/09,Juventus,Sampdoria,5,1,H,2,0,H,20,6,9,2,22,23,5,1,1,1,0,0
94,I1,28/10/09,Lazio,Cagliari,0,1,A,0,0,D,23,14,7,6,15,23,9,1,4,4,0,0
95,I1,28/10/09,Livorno,Atalanta,1,0,H,0,0,D,10,10,3,2,20,16,6,9,3,2,0,0
96,I1,28/10/09,Napoli,Milan,2,2,D,0,2,A,25,4,10,2,14,20,13,1,4,1,0,1
97,I1,28/10/09,Parma,Bari,2,0,H,0,0,D,7,4,2,0,17,14,2,2,2,2,0,0
98,I1,28/10/09,Udinese,Roma,2,1,H,1,1,D,11,12,3,5,18,19,6,5,4,4,1,1
99,I1,29/10/09,Inter,Palermo,5,3,H,4,0,H,20,18,11,7,14,8,8,2,1,2,0,0
100,I1,31/10/09,Juventus,Napoli,2,3,A,1,0,H,13,14,4,5,15,24,5,8,1,3,1,0
101,I1,31/10/09,Milan,Parma,2,0,H,1,0,H,13,17,3,6,10,28,3,2,2,1,0,0
102,I1,01/11/09,Cagliari,Atalanta,3,0,H,3,0,H,11,10,5,1,19,17,3,3,1,1,0,0
103,I1,01/11/09,Chievo,Udinese,1,1,D,0,1,A,21,9,9,4,18,15,10,0,2,2,0,0
104,I1,01/11/09,Fiorentina,Catania,3,1,H,1,0,H,13,12,5,4,24,19,7,6,1,3,1,1
105,I1,01/11/09,Livorno,Inter,0,2,A,0,0,D,18,6,3,2,9,17,9,4,2,1,0,0
106,I1,01/11/09,Palermo,Genoa,0,0,D,0,0,D,22,11,6,5,9,24,6,7,2,2,0,0
107,I1,01/11/09,Roma,Bologna,2,1,H,1,1,D,29,4,9,3,15,16,17,1,2,2,0,0
108,I1,01/11/09,Sampdoria,Bari,0,0,D,0,0,D,12,5,4,2,19,20,8,4,5,2,0,0
109,I1,01/11/09,Siena,Lazio,1,1,D,1,1,D,11,7,3,2,21,15,5,6,1,1,0,0
110,I1,07/11/09,Atalanta,Juventus,2,5,A,0,2,A,8,16,3,6,10,19,2,4,4,4,0,0
111,I1,07/11/09,Catania,Napoli,0,0,D,0,0,D,9,6,3,1,22,20,8,2,3,2,0,0
112,I1,08/11/09,Bari,Livorno,1,0,H,1,0,H,11,14,4,4,14,19,1,5,0,1,0,0
113,I1,08/11/09,Bologna,Palermo,3,1,H,1,1,D,13,12,5,3,16,13,5,5,3,2,0,0
114,I1,08/11/09,Cagliari,Sampdoria,2,0,H,0,0,D,15,6,5,3,21,12,10,3,2,1,0,1
115,I1,08/11/09,Genoa,Siena,4,2,H,3,0,H,9,19,7,6,21,18,5,8,4,4,0,0
116,I1,08/11/09,Inter,Roma,1,1,D,0,1,A,12,12,4,4,26,13,4,5,3,2,0,0
117,I1,08/11/09,Lazio,Milan,1,2,A,0,2,A,26,11,6,5,25,19,11,5,2,2,0,0
118,I1,08/11/09,Parma,Chievo,2,0,H,1,0,H,14,14,5,2,17,20,3,11,2,4,0,0
119,I1,08/11/09,Udinese,Fiorentina,0,1,A,0,0,D,7,14,2,5,15,19,6,10,3,4,0,0
120,I1,21/11/09,Bologna,Inter,1,3,A,1,2,A,10,17,2,8,22,18,2,6,0,2,0,1
121,I1,21/11/09,Fiorentina,Parma,2,3,A,1,1,D,17,8,5,3,15,16,11,4,2,4,1,0
122,I1,22/11/09,Juventus,Udinese,1,0,H,0,0,D,13,5,7,2,20,17,5,3,3,2,0,0
123,I1,22/11/09,Livorno,Genoa,2,1,H,1,0,H,11,10,3,4,14,24,3,1,2,2,0,0
124,I1,22/11/09,Milan,Cagliari,4,3,H,3,2,H,12,17,5,10,18,23,1,3,4,3,0,0
125,I1,22/11/09,Napoli,Lazio,0,0,D,0,0,D,11,12,3,3,19,17,6,5,3,5,0,0
126,I1,22/11/09,Palermo,Catania,1,1,D,1,0,H,16,23,3,5,17,18,5,3,3,1,0,0
127,I1,22/11/09,Roma,Bari,3,1,H,3,0,H,17,16,8,5,16,17,4,10,2,3,0,0
128,I1,22/11/09,Sampdoria,Chievo,2,1,H,1,0,H,16,8,8,2,18,34,6,3,1,1,0,1
129,I1,22/11/09,Siena,Atalanta,0,2,A,0,0,D,23,13,5,5,22,17,6,6,2,2,0,0
130,I1,28/11/09,Genoa,Sampdoria,3,0,H,1,0,H,6,9,5,2,30,24,3,1,3,3,1,2
131,I1,28/11/09,Udinese,Livorno,2,0,H,2,0,H,18,10,7,1,18,15,3,4,1,3,0,0
132,I1,29/11/09,Atalanta,Roma,1,2,A,1,1,D,12,14,6,5,13,15,7,3,3,1,0,0
133,I1,29/11/09,Bari,Siena,2,1,H,0,1,A,13,9,5,3,12,19,8,1,0,4,0,0
