,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,N1,06/08/10,Roda,Twente,0,0,D,0,0,D
1,N1,07/08/10,Graafschap,Excelsior,3,0,H,1,0,H
2,N1,07/08/10,Heerenveen,PSV Eindhoven,1,3,A,0,0,D
3,N1,07/08/10,Heracles,Willem II,3,0,H,1,0,H
4,N1,07/08/10,Nijmegen,VVV Venlo,1,0,H,0,0,D
5,N1,08/08/10,Feyenoord,Utrecht,3,1,H,0,1,A
6,N1,08/08/10,Groningen,Ajax,2,2,D,0,0,D
7,N1,08/08/10,NAC Breda,AZ Alkmaar,1,1,D,0,0,D
8,N1,08/08/10,Vitesse,Den Haag,3,1,H,1,1,D
9,N1,14/08/10,Ajax,Vitesse,4,2,H,2,2,D
10,N1,14/08/10,AZ Alkmaar,Groningen,1,1,D,0,0,D
11,N1,14/08/10,PSV Eindhoven,Graafschap,6,0,H,2,0,H
12,N1,14/08/10,Twente,Heerenveen,0,0,D,0,0,D
13,N1,14/08/10,VVV Venlo,Heracles,1,0,H,1,0,H
14,N1,15/08/10,Den Haag,Roda,1,3,A,1,2,A
15,N1,15/08/10,Excelsior,Feyenoord,3,2,H,1,1,D
16,N1,15/08/10,Utrecht,NAC Breda,3,1,H,1,1,D
17,N1,15/08/10,Willem II,Nijmegen,3,5,A,2,1,H
18,N1,20/08/10,Excelsior,Nijmegen,4,2,H,0,1,A
19,N1,21/08/10,Ajax,Roda,3,0,H,1,0,H
20,N1,21/08/10,Groningen,Graafschap,2,1,H,2,0,H
21,N1,21/08/10,Heerenveen,NAC Breda,3,1,H,1,1,D
22,N1,21/08/10,Vitesse,Twente,0,3,A,0,0,D
23,N1,22/08/10,Heracles,Feyenoord,1,1,D,1,0,H
24,N1,22/08/10,PSV Eindhoven,AZ Alkmaar,3,1,H,1,0,H
25,N1,22/08/10,Utrecht,Willem II,3,0,H,3,0,H
26,N1,22/08/10,VVV Venlo,Den Haag,2,3,A,1,1,D
27,N1,27/08/10,Willem II,Groningen,0,3,A,0,1,A
28,N1,28/08/10,NAC Breda,VVV Venlo,2,0,H,2,0,H
29,N1,28/08/10,Nijmegen,Heerenveen,2,2,D,0,0,D
30,N1,28/08/10,Roda,Heracles,4,2,H,3,0,H
31,N1,29/08/10,AZ Alkmaar,Excelsior,1,1,D,0,1,A
32,N1,29/08/10,Den Haag,PSV Eindhoven,2,2,D,0,1,A
33,N1,29/08/10,Feyenoord,Vitesse,4,0,H,2,0,H
34,N1,29/08/10,Graafschap,Ajax,0,5,A,0,2,A
35,N1,29/08/10,Twente,Utrecht,4,0,H,0,0,D
36,N1,11/09/10,Ajax,Willem II,2,0,H,1,0,H
37,N1,11/09/10,AZ Alkmaar,Roda,1,2,A,1,1,D
38,N1,11/09/10,Excelsior,Heracles,2,1,H,0,1,A
39,N1,11/09/10,Heerenveen,Vitesse,2,1,H,0,0,D
40,N1,11/09/10,PSV Eindhoven,Nijmegen,3,1,H,0,1,A
41,N1,11/09/10,VVV Venlo,Twente,1,2,A,1,1,D
