,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,N1,11/08/17,Den Haag,Utrecht,0,3,A,0,1,A,17,16,6,8,11,12,8,5,2,1,0,0
1,N1,12/08/17,Heracles,Ajax,2,1,H,0,0,D,14,29,8,11,15,16,3,8,1,1,0,0
2,N1,12/08/17,PSV Eindhoven,AZ Alkmaar,3,2,H,1,1,D,25,15,9,8,10,16,10,7,0,3,0,0
3,N1,12/08/17,Vitesse,NAC Breda,4,1,H,3,0,H,16,5,6,4,7,12,9,3,0,1,0,0
4,N1,12/08/17,VVV Venlo,Sparta Rotterdam,3,0,H,1,0,H,12,8,6,2,15,15,3,5,0,1,0,1
5,N1,13/08/17,Feyenoord,Twente,2,1,H,1,1,D,15,7,7,3,10,24,4,1,2,4,0,0
6,N1,13/08/17,Groningen,Heerenveen,3,3,D,0,2,A,16,19,5,8,11,15,6,6,1,2,0,0
7,N1,13/08/17,Willem II,Excelsior,1,2,A,0,1,A,9,9,2,3,7,13,8,1,3,3,0,0
8,N1,13/08/17,Zwolle,Roda,4,2,H,1,1,D,29,10,10,6,8,9,7,2,0,1,0,0
9,N1,18/08/17,Roda,Vitesse,1,3,A,0,1,A,15,10,4,4,17,14,5,9,1,2,0,0
10,N1,19/08/17,AZ Alkmaar,Den Haag,2,0,H,1,0,H,32,6,9,1,12,11,8,8,2,3,0,1
11,N1,19/08/17,Heerenveen,Heracles,1,1,D,0,1,A,19,7,6,3,15,13,10,3,3,0,0,0
12,N1,19/08/17,Twente,VVV Venlo,1,2,A,0,2,A,11,9,4,5,7,5,3,6,2,2,0,0
13,N1,20/08/17,Ajax,Groningen,3,1,H,1,0,H,27,7,7,2,9,11,12,2,0,3,0,0
14,N1,20/08/17,Excelsior,Feyenoord,0,1,A,0,1,A,7,11,4,3,19,14,3,6,1,2,0,0
15,N1,20/08/17,NAC Breda,PSV Eindhoven,1,4,A,1,1,D,9,26,4,9,20,13,6,8,3,1,0,0
16,N1,20/08/17,Sparta Rotterdam,Zwolle,1,1,D,1,1,D,7,12,4,4,0,5,1,9,4,3,0,0
17,N1,20/08/17,Utrecht,Willem II,2,0,H,2,0,H,9,4,5,1,12,13,3,4,0,2,0,0
18,N1,25/08/17,NAC Breda,Sparta Rotterdam,2,2,D,1,0,H,11,10,7,3,16,18,9,6,4,2,0,0
19,N1,26/08/17,Den Haag,Heerenveen,1,2,A,0,0,D,13,16,1,9,9,18,5,7,1,2,0,0
20,N1,26/08/17,Heracles,Excelsior,2,2,D,1,1,D,18,11,6,5,10,17,3,4,1,2,0,1
21,N1,26/08/17,Vitesse,AZ Alkmaar,1,2,A,0,1,A,16,27,4,9,8,15,4,7,1,3,0,0
22,N1,26/08/17,Zwolle,Twente,2,0,H,1,0,H,16,10,4,3,12,12,4,5,2,3,0,0
23,N1,27/08/17,Feyenoord,Willem II,5,0,H,4,0,H,16,4,8,1,9,10,11,1,0,1,0,0
24,N1,27/08/17,Groningen,Utrecht,2,1,H,2,0,H,5,30,3,13,16,12,0,13,2,3,0,0
25,N1,27/08/17,PSV Eindhoven,Roda,2,0,H,2,0,H,23,6,9,2,10,14,5,4,0,1,0,0
26,N1,27/08/17,VVV Venlo,Ajax,0,2,A,0,0,D,11,22,3,7,7,7,3,8,2,1,0,0
27,N1,09/09/17,Ajax,Zwolle,3,0,H,1,0,H,21,11,8,3,10,18,5,4,2,1,0,0
28,N1,09/09/17,Excelsior,Vitesse,0,3,A,0,1,A,7,12,1,4,10,10,5,5,2,1,0,0
29,N1,09/09/17,Heracles,Feyenoord,2,4,A,0,3,A,12,19,6,10,15,10,3,6,3,2,0,0
30,N1,09/09/17,Willem II,Den Haag,1,2,A,0,1,A,7,12,3,5,17,18,2,2,1,1,0,0
31,N1,10/09/17,AZ Alkmaar,NAC Breda,2,1,H,0,0,D,16,12,6,3,16,17,7,5,1,1,0,0
32,N1,10/09/17,Groningen,VVV Venlo,1,1,D,1,0,H,12,18,6,6,9,11,5,6,2,2,0,0
33,N1,10/09/17,Heerenveen,PSV Eindhoven,2,0,H,2,0,H,19,7,3,3,10,14,8,4,0,3,0,1
34,N1,10/09/17,Sparta Rotterdam,Twente,1,0,H,1,0,H,10,12,1,1,14,13,5,9,2,2,0,1
35,N1,10/09/17,Utrecht,Roda,2,0,H,1,0,H,27,3,10,1,12,8,9,0,0,0,0,0
36,N1,15/09/17,Sparta Rotterdam,AZ Alkmaar,0,2,A,0,1,A,15,15,7,5,9,9,8,8,1,0,0,0
37,N1,16/09/17,Excelsior,Heerenveen,1,2,A,1,0,H,12,16,5,5,13,12,5,3,0,0,0,0
38,N1,16/09/17,NAC Breda,Groningen,2,1,H,0,0,D,12,8,7,4,9,11,1,1,3,3,0,0
39,N1,16/09/17,Roda,Willem II,1,3,A,1,3,A,12,11,4,6,14,7,5,3,2,2,0,0
40,N1,16/09/17,Zwolle,Heracles,2,1,H,1,0,H,21,7,7,4,17,15,8,4,5,3,0,0
41,N1,17/09/17,Den Haag,Ajax,1,1,D,0,1,A,10,19,2,6,12,13,1,8,3,4,0,0
42,N1,17/09/17,PSV Eindhoven,Feyenoord,1,0,H,1,0,H,18,16,5,5,19,15,5,7,2,5,0,1
43,N1,17/09/17,Twente,Utrecht,4,0,H,3,0,H,12,8,8,1,17,10,5,6,1,2,0,0
44,N1,17/09/17,Vitesse,VVV Venlo,1,1,D,0,0,D,20,5,6,3,14,16,9,3,5,1,0,0
45,N1,23/09/17,Den Haag,Sparta Rotterdam,1,0,H,0,0,D,16,10,5,5,13,12,6,4,2,1,0,0
46,N1,23/09/17,Feyenoord,NAC Breda,0,2,A,0,1,A,20,6,5,5,14,12,13,1,0,2,0,0
47,N1,23/09/17,Heracles,Roda,2,1,H,0,1,A,23,7,5,3,6,12,15,1,1,2,0,0
48,N1,23/09/17,Willem II,Heerenveen,1,2,A,1,1,D,12,11,4,5,11,11,5,4,0,2,0,0
49,N1,24/09/17,Ajax,Vitesse,1,2,A,0,2,A,18,8,5,4,12,18,11,4,2,3,0,0
50,N1,24/09/17,AZ Alkmaar,Excelsior,0,2,A,0,2,A,20,13,6,6,7,10,26,4,1,0,0,0
51,N1,24/09/17,Groningen,Twente,1,0,H,0,0,D,13,16,3,5,11,12,8,4,2,3,0,0
52,N1,24/09/17,Utrecht,PSV Eindhoven,1,7,A,1,2,A,15,12,4,9,16,15,5,3,2,2,1,0
53,N1,24/09/17,VVV Venlo,Zwolle,1,1,D,0,1,A,12,13,5,2,14,8,4,4,2,1,0,0
54,N1,29/09/17,Twente,Heracles,2,1,H,1,0,H,16,14,7,1,18,14,4,2,1,2,0,0
55,N1,30/09/17,Excelsior,VVV Venlo,0,2,A,0,1,A,3,14,1,4,15,14,2,4,3,1,0,0
56,N1,30/09/17,NAC Breda,Den Haag,0,1,A,0,0,D,15,10,4,3,8,16,9,6,3,2,0,0
57,N1,30/09/17,PSV Eindhoven,Willem II,4,0,H,0,0,D,20,7,9,5,9,10,3,2,0,3,0,0
58,N1,30/09/17,Zwolle,Groningen,3,2,H,1,1,D,23,13,12,5,13,14,3,4,4,1,0,1
59,N1,01/10/17,AZ Alkmaar,Feyenoord,0,4,A,0,3,A,9,10,2,4,16,13,5,2,0,0,0,0
60,N1,01/10/17,Heerenveen,Ajax,0,4,A,0,2,A,14,19,4,8,17,18,6,4,5,3,0,0
61,N1,01/10/17,Sparta Rotterdam,Roda,1,2,A,0,2,A,21,5,8,2,15,15,12,5,1,3,0,0
