,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,P1,25/08/06,Porto,Leiria,2,1,H,2,0,H
1,P1,26/08/06,Beira Mar,Aves,2,2,D,1,1,D
2,P1,26/08/06,Sp Braga,Pacos Ferreira,2,1,H,0,0,D
3,P1,26/08/06,Sp Lisbon,Boavista,3,2,H,0,1,A
4,P1,27/08/06,Maritimo,Nacional,1,0,H,1,0,H
5,P1,27/08/06,Naval,Est Amadora,2,0,H,1,0,H
6,P1,28/08/06,Setubal,Academica,1,1,D,0,0,D
7,P1,08/09/06,Aves,Sp Braga,0,1,A,0,1,A
8,P1,09/09/06,Boavista,Benfica,3,0,H,1,0,H
9,P1,09/09/06,Nacional,Sp Lisbon,0,1,A,0,1,A
10,P1,10/09/06,Academica,Naval,1,2,A,1,0,H
11,P1,10/09/06,Belenenses,Setubal,2,0,H,1,0,H
12,P1,10/09/06,Est Amadora,Porto,0,3,A,0,0,D
13,P1,10/09/06,Pacos Ferreira,Maritimo,2,1,H,1,0,H
14,P1,11/09/06,Leiria,Beira Mar,2,2,D,0,1,A
15,P1,16/09/06,Sp Lisbon,Pacos Ferreira,0,1,A,0,1,A
16,P1,17/09/06,Academica,Belenenses,1,1,D,1,1,D
17,P1,17/09/06,Beira Mar,Est Amadora,2,0,H,1,0,H
18,P1,17/09/06,Benfica,Nacional,1,0,H,1,0,H
19,P1,17/09/06,Maritimo,Aves,0,0,D,0,0,D
20,P1,17/09/06,Naval,Porto,0,2,A,0,2,A
21,P1,18/09/06,Sp Braga,Leiria,0,1,A,0,1,A
22,P1,19/09/06,Setubal,Boavista,1,0,H,0,0,D
23,P1,22/09/06,Pacos Ferreira,Benfica,1,1,D,0,1,A
24,P1,22/09/06,Porto,Beira Mar,3,0,H,0,0,D
25,P1,23/09/06,Aves,Sp Lisbon,0,2,A,0,1,A
26,P1,23/09/06,Belenenses,Naval,0,0,D,0,0,D
27,P1,23/09/06,Est Amadora,Sp Braga,0,0,D,0,0,D
28,P1,24/09/06,Boavista,Academica,2,2,D,1,1,D
29,P1,24/09/06,Nacional,Setubal,1,0,H,0,0,D
30,P1,25/09/06,Leiria,Maritimo,1,0,H,0,0,D
31,P1,29/09/06,Naval,Beira Mar,2,1,H,0,0,D
32,P1,30/09/06,Belenenses,Boavista,0,2,A,0,2,A
33,P1,01/10/06,Academica,Nacional,1,3,A,1,1,D
34,P1,01/10/06,Benfica,Aves,4,1,H,1,1,D
35,P1,01/10/06,Maritimo,Est Amadora,2,1,H,0,0,D
36,P1,02/10/06,Setubal,Pacos Ferreira,1,1,D,1,0,H
37,P1,02/10/06,Sp Braga,Porto,2,1,H,1,1,D
38,P1,02/10/06,Sp Lisbon,Leiria,2,0,H,1,0,H
39,P1,13/10/06,Beira Mar,Sp Braga,0,3,A,0,1,A
40,P1,14/10/06,Leiria,Benfica,0,4,A,0,2,A
41,P1,14/10/06,Porto,Maritimo,3,0,H,1,0,H
42,P1,15/10/06,Aves,Setubal,1,2,A,0,0,D
43,P1,15/10/06,Est Amadora,Sp Lisbon,0,1,A,0,1,A
44,P1,15/10/06,Nacional,Belenenses,2,1,H,1,1,D
45,P1,15/10/06,Pacos Ferreira,Academica,1,1,D,0,1,A
46,P1,16/10/06,Boavista,Naval,0,1,A,0,0,D
47,P1,20/10/06,Belenenses,Pacos Ferreira,2,0,H,2,0,H
48,P1,21/10/06,Boavista,Nacional,0,4,A,0,2,A
49,P1,22/10/06,Academica,Aves,2,0,H,1,0,H
50,P1,22/10/06,Benfica,Est Amadora,3,1,H,1,1,D
51,P1,22/10/06,Maritimo,Beira Mar,2,1,H,0,0,D
52,P1,22/10/06,Setubal,Leiria,1,2,A,1,1,D
53,P1,22/10/06,Sp Lisbon,Porto,1,1,D,1,0,H
54,P1,23/10/06,Naval,Sp Braga,1,1,D,0,1,A
55,P1,27/10/06,Beira Mar,Sp Lisbon,3,3,D,1,0,H
56,P1,28/10/06,Leiria,Academica,2,0,H,1,0,H
57,P1,28/10/06,Porto,Benfica,3,2,H,2,0,H
58,P1,29/10/06,Aves,Belenenses,0,1,A,0,0,D
59,P1,29/10/06,Est Amadora,Setubal,1,0,H,0,0,D
60,P1,29/10/06,Nacional,Naval,1,1,D,1,1,D
61,P1,29/10/06,Sp Braga,Maritimo,1,4,A,0,2,A
62,P1,30/10/06,Pacos Ferreira,Boavista,2,0,H,1,0,H
63,P1,03/11/06,Belenenses,Leiria,0,1,A,0,1,A
64,P1,04/11/06,Boavista,Aves,2,1,H,0,1,A
65,P1,05/11/06,Academica,Est Amadora,2,0,H,0,0,D
66,P1,05/11/06,Benfica,Beira Mar,3,0,H,0,0,D
67,P1,05/11/06,Nacional,Pacos Ferreira,5,1,H,3,0,H
68,P1,05/11/06,Naval,Maritimo,0,1,A,0,0,D
69,P1,06/11/06,Setubal,Porto,0,3,A,0,2,A
70,P1,06/11/06,Sp Lisbon,Sp Braga,3,0,H,2,0,H
71,P1,17/11/06,Beira Mar,Setubal,1,1,D,0,0,D
72,P1,18/11/06,Porto,Academica,2,1,H,0,0,D
73,P1,18/11/06,Sp Braga,Benfica,3,1,H,2,1,H
74,P1,19/11/06,Aves,Nacional,3,1,H,1,1,D
75,P1,19/11/06,Leiria,Boavista,0,0,D,0,0,D
76,P1,19/11/06,Maritimo,Sp Lisbon,0,1,A,0,0,D
77,P1,19/11/06,Pacos Ferreira,Naval,1,1,D,1,0,H
78,P1,20/11/06,Est Amadora,Belenenses,1,0,H,1,0,H
79,P1,24/11/06,Boavista,Est Amadora,1,1,D,0,1,A
80,P1,25/11/06,Benfica,Maritimo,2,1,H,1,1,D
81,P1,26/11/06,Academica,Beira Mar,3,1,H,1,1,D
82,P1,26/11/06,Belenenses,Porto,0,1,A,0,1,A
83,P1,26/11/06,Nacional,Leiria,2,1,H,1,0,H
84,P1,26/11/06,Naval,Sp Lisbon,0,1,A,0,0,D
85,P1,26/11/06,Pacos Ferreira,Aves,2,0,H,1,0,H
86,P1,27/11/06,Setubal,Sp Braga,1,2,A,0,1,A
87,P1,01/12/06,Sp Lisbon,Benfica,0,2,A,0,2,A
88,P1,02/12/06,Beira Mar,Belenenses,1,2,A,0,2,A
89,P1,02/12/06,Porto,Boavista,2,0,H,0,0,D
90,P1,03/12/06,Aves,Naval,2,0,H,0,0,D
91,P1,03/12/06,Est Amadora,Nacional,2,0,H,0,0,D
92,P1,03/12/06,Leiria,Pacos Ferreira,0,0,D,0,0,D
93,P1,03/12/06,Sp Braga,Academica,4,2,H,2,0,H
94,P1,04/12/06,Maritimo,Setubal,1,0,H,0,0,D
95,P1,08/12/06,Belenenses,Sp Braga,2,0,H,1,0,H
96,P1,09/12/06,Boavista,Beira Mar,3,0,H,2,0,H
97,P1,09/12/06,Setubal,Sp Lisbon,0,3,A,0,2,A
98,P1,10/12/06,Academica,Maritimo,1,2,A,0,1,A
99,P1,10/12/06,Aves,Leiria,0,1,A,0,0,D
100,P1,10/12/06,Naval,Benfica,0,0,D,0,0,D
101,P1,10/12/06,Pacos Ferreira,Est Amadora,1,1,D,1,1,D
102,P1,11/12/06,Nacional,Porto,1,2,A,1,0,H
103,P1,15/12/06,Maritimo,Belenenses,1,4,A,0,2,A
104,P1,16/12/06,Benfica,Setubal,3,0,H,1,0,H
105,P1,16/12/06,Sp Lisbon,Academica,1,0,H,1,0,H
106,P1,17/12/06,Beira Mar,Nacional,1,1,D,0,0,D
107,P1,17/12/06,Est Amadora,Aves,1,0,H,1,0,H
108,P1,17/12/06,Naval,Leiria,2,1,H,0,1,A
109,P1,17/12/06,Porto,Pacos Ferreira,4,0,H,2,0,H
110,P1,18/12/06,Sp Braga,Boavista,2,2,D,2,1,H
111,P1,21/12/06,Benfica,Belenenses,4,0,H,2,0,H
112,P1,12/01/07,Boavista,Maritimo,1,1,D,1,1,D
113,P1,13/01/07,Belenenses,Sp Lisbon,0,0,D,0,0,D
114,P1,13/01/07,Nacional,Sp Braga,0,0,D,0,0,D
115,P1,14/01/07,Aves,Porto,0,2,A,0,1,A
116,P1,14/01/07,Leiria,Est Amadora,0,0,D,0,0,D
117,P1,14/01/07,Pacos Ferreira,Beira Mar,1,0,H,0,0,D
118,P1,14/01/07,Setubal,Naval,0,3,A,0,1,A
119,P1,15/01/07,Academica,Benfica,0,2,A,0,1,A
120,P1,26/01/07,Leiria,Porto,1,0,H,0,0,D
121,P1,27/01/07,Pacos Ferreira,Sp Braga,3,2,H,1,0,H
122,P1,28/01/07,Academica,Setubal,0,1,A,0,0,D
123,P1,28/01/07,Aves,Beira Mar,0,0,D,0,0,D
124,P1,28/01/07,Belenenses,Benfica,1,2,A,0,2,A
125,P1,28/01/07,Boavista,Sp Lisbon,1,1,D,0,0,D
126,P1,28/01/07,Est Amadora,Naval,0,0,D,0,0,D
127,P1,29/01/07,Nacional,Maritimo,3,2,H,2,0,H
128,P1,02/02/07,Benfica,Boavista,0,0,D,0,0,D
129,P1,03/02/07,Porto,Est Amadora,0,1,A,0,0,D
130,P1,03/02/07,Sp Lisbon,Nacional,5,1,H,0,1,A
131,P1,04/02/07,Beira Mar,Leiria,1,0,H,1,0,H
132,P1,04/02/07,Maritimo,Pacos Ferreira,1,1,D,0,0,D
133,P1,04/02/07,Naval,Academica,0,1,A,0,0,D
134,P1,04/02/07,Setubal,Belenenses,0,1,A,0,1,A
135,P1,04/02/07,Sp Braga,Aves,1,0,H,0,0,D
136,P1,16/02/07,Porto,Naval,4,0,H,2,0,H
137,P1,17/02/07,Boavista,Setubal,1,1,D,0,0,D
138,P1,17/02/07,Pacos Ferreira,Sp Lisbon,1,1,D,0,0,D
139,P1,18/02/07,Aves,Maritimo,1,1,D,1,1,D
140,P1,18/02/07,Est Amadora,Beira Mar,2,2,D,2,2,D
141,P1,18/02/07,Leiria,Sp Braga,1,0,H,0,0,D
142,P1,18/02/07,Nacional,Benfica,0,2,A,0,0,D
143,P1,19/02/07,Belenenses,Academica,1,2,A,0,0,D
144,P1,23/02/07,Sp Lisbon,Aves,0,0,D,0,0,D
145,P1,24/02/07,Academica,Boavista,0,2,A,0,2,A
146,P1,24/02/07,Naval,Belenenses,2,3,A,1,2,A
147,P1,25/02/07,Beira Mar,Porto,0,5,A,0,1,A
148,P1,25/02/07,Setubal,Nacional,1,1,D,0,0,D
149,P1,26/02/07,Benfica,Pacos Ferreira,3,1,H,2,1,H
150,P1,26/02/07,Maritimo,Leiria,2,1,H,1,1,D
151,P1,26/02/07,Sp Braga,Est Amadora,2,1,H,1,1,D
152,P1,02/03/07,Pacos Ferreira,Setubal,1,0,H,1,0,H
153,P1,03/03/07,Aves,Benfica,0,1,A,0,0,D
154,P1,03/03/07,Porto,Sp Braga,1,0,H,1,0,H
155,P1,04/03/07,Beira Mar,Naval,1,3,A,0,0,D
156,P1,04/03/07,Est Amadora,Maritimo,1,0,H,1,0,H
157,P1,04/03/07,Leiria,Sp Lisbon,0,0,D,0,0,D
158,P1,04/03/07,Nacional,Academica,4,0,H,1,0,H
159,P1,05/03/07,Boavista,Belenenses,0,0,D,0,0,D
160,P1,09/03/07,Naval,Boavista,1,1,D,1,1,D
161,P1,10/03/07,Belenenses,Nacional,2,0,H,2,0,H
162,P1,10/03/07,Sp Lisbon,Est Amadora,3,1,H,1,0,H
163,P1,11/03/07,Academica,Pacos Ferreira,0,2,A,0,1,A
164,P1,11/03/07,Maritimo,Porto,1,2,A,0,2,A
165,P1,11/03/07,Setubal,Aves,1,1,D,1,1,D
166,P1,11/03/07,Sp Braga,Beira Mar,0,0,D,0,0,D
167,P1,12/03/07,Benfica,Leiria,2,0,H,1,0,H
168,P1,16/03/07,Nacional,Boavista,2,0,H,2,0,H
169,P1,17/03/07,Porto,Sp Lisbon,0,1,A,0,0,D
170,P1,18/03/07,Aves,Academica,2,2,D,0,1,A
171,P1,18/03/07,Beira Mar,Maritimo,2,2,D,1,0,H
172,P1,18/03/07,Leiria,Setubal,1,1,D,0,0,D
173,P1,18/03/07,Pacos Ferreira,Belenenses,0,2,A,0,1,A
174,P1,19/03/07,Est Amadora,Benfica,0,1,A,0,0,D
175,P1,20/03/07,Sp Braga,Naval,2,1,H,1,0,H
176,P1,31/03/07,Belenenses,Aves,1,0,H,1,0,H
177,P1,31/03/07,Boavista,Pacos Ferreira,3,1,H,1,0,H
178,P1,01/04/07,Academica,Leiria,0,0,D,0,0,D
179,P1,01/04/07,Benfica,Porto,1,1,D,0,1,A
180,P1,01/04/07,Maritimo,Sp Braga,1,2,A,1,1,D
181,P1,01/04/07,Naval,Nacional,0,0,D,0,0,D
182,P1,01/04/07,Setubal,Est Amadora,2,0,H,1,0,H
183,P1,02/04/07,Sp Lisbon,Beira Mar,2,0,H,2,0,H
184,P1,06/04/07,Porto,Setubal,5,1,H,4,0,H
185,P1,07/04/07,Aves,Boavista,1,0,H,0,0,D
186,P1,07/04/07,Est Amadora,Academica,3,3,D,2,1,H
187,P1,07/04/07,Leiria,Belenenses,0,1,A,0,0,D
188,P1,07/04/07,Maritimo,Naval,1,1,D,1,0,H
189,P1,07/04/07,Pacos Ferreira,Nacional,2,1,H,0,1,A
190,P1,07/04/07,Sp Braga,Sp Lisbon,0,1,A,0,0,D
191,P1,09/04/07,Beira Mar,Benfica,2,2,D,1,0,H
192,P1,13/04/07,Sp Lisbon,Maritimo,4,0,H,2,0,H
193,P1,14/04/07,Academica,Porto,1,2,A,0,1,A
194,P1,14/04/07,Belenenses,Est Amadora,3,0,H,3,0,H
195,P1,15/04/07,Boavista,Leiria,1,1,D,0,0,D
196,P1,15/04/07,Nacional,Aves,3,4,A,1,0,H
197,P1,15/04/07,Naval,Pacos Ferreira,1,1,D,1,0,H
198,P1,15/04/07,Setubal,Beira Mar,1,3,A,1,0,H
199,P1,16/04/07,Benfica,Sp Braga,0,0,D,0,0,D
200,P1,20/04/07,Est Amadora,Boavista,2,1,H,0,0,D
201,P1,21/04/07,Maritimo,Benfica,0,3,A,0,0,D
202,P1,22/04/07,Aves,Pacos Ferreira,0,1,A,0,0,D
203,P1,22/04/07,Leiria,Nacional,1,0,H,0,0,D
204,P1,22/04/07,Porto,Belenenses,3,1,H,2,0,H
205,P1,22/04/07,Sp Lisbon,Naval,4,0,H,2,0,H
206,P1,23/04/07,Beira Mar,Academica,0,1,A,0,0,D
207,P1,23/04/07,Sp Braga,Setubal,0,0,D,0,0,D
208,P1,27/04/07,Pacos Ferreira,Leiria,0,0,D,0,0,D
209,P1,28/04/07,Belenenses,Beira Mar,2,0,H,1,0,H
210,P1,28/04/07,Boavista,Porto,2,1,H,1,0,H
211,P1,29/04/07,Benfica,Sp Lisbon,1,1,D,1,1,D
212,P1,29/04/07,Nacional,Est Amadora,1,0,H,0,0,D
213,P1,29/04/07,Naval,Aves,0,1,A,0,0,D
214,P1,29/04/07,Setubal,Maritimo,1,1,D,0,0,D
215,P1,30/04/07,Academica,Sp Braga,0,1,A,0,0,D
216,P1,04/05/07,Beira Mar,Boavista,1,0,H,0,0,D
217,P1,05/05/07,Benfica,Naval,2,1,H,1,0,H
218,P1,05/05/07,Maritimo,Academica,0,0,D,0,0,D
219,P1,05/05/07,Porto,Nacional,2,0,H,0,0,D
220,P1,06/05/07,Est Amadora,Pacos Ferreira,1,0,H,0,0,D
221,P1,06/05/07,Leiria,Aves,3,1,H,0,0,D
222,P1,06/05/07,Sp Braga,Belenenses,2,1,H,1,0,H
223,P1,06/05/07,Sp Lisbon,Setubal,3,1,H,2,0,H
224,P1,12/05/07,Belenenses,Maritimo,2,0,H,1,0,H
225,P1,12/05/07,Boavista,Sp Braga,0,1,A,0,1,A
226,P1,13/05/07,Academica,Sp Lisbon,0,2,A,0,1,A
227,P1,13/05/07,Aves,Est Amadora,0,1,A,0,1,A
228,P1,13/05/07,Leiria,Naval,2,2,D,1,2,A
229,P1,13/05/07,Nacional,Beira Mar,3,0,H,3,0,H
230,P1,13/05/07,Pacos Ferreira,Porto,1,1,D,1,0,H
231,P1,13/05/07,Setubal,Benfica,0,1,A,0,0,D
232,P1,19/05/07,Maritimo,Boavista,1,2,A,0,1,A
233,P1,20/05/07,Beira Mar,Pacos Ferreira,1,1,D,0,1,A
234,P1,20/05/07,Benfica,Academica,2,0,H,1,0,H
235,P1,20/05/07,Est Amadora,Leiria,1,1,D,0,0,D
236,P1,20/05/07,Naval,Setubal,1,2,A,1,2,A
237,P1,20/05/07,Porto,Aves,4,1,H,1,1,D
238,P1,20/05/07,Sp Braga,Nacional,1,1,D,1,1,D
239,P1,20/05/07,Sp Lisbon,Belenenses,4,0,H,2,0,H
