,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,P1,06/08/17,Aves,Sp Lisbon,0,2,A,0,1,A,12,12,2,9,15,16,6,3,1,0,0,0
1,P1,06/08/17,Setubal,Moreirense,1,1,D,1,0,H,6,12,2,4,18,22,4,8,1,3,1,0
2,P1,07/08/17,Feirense,Tondela,1,1,D,0,1,A,12,13,5,6,19,25,5,3,4,1,0,0
3,P1,07/08/17,Portimonense,Boavista,2,1,H,0,1,A,12,5,4,2,14,10,9,4,1,1,0,0
4,P1,07/08/17,Rio Ave,Belenenses,1,0,H,1,0,H,11,10,5,3,17,23,4,8,2,2,0,0
5,P1,08/08/17,Maritimo,Pacos Ferreira,1,0,H,0,0,D,7,4,3,1,13,14,0,7,2,2,0,0
6,P1,09/08/17,Benfica,Sp Braga,3,1,H,2,1,H,15,6,9,1,13,18,6,2,2,3,0,0
7,P1,09/08/17,Porto,Estoril,4,0,H,1,0,H,17,10,8,4,18,12,10,5,1,1,0,0
8,P1,10/08/17,Guimaraes,Chaves,3,2,H,2,0,H,16,15,8,3,21,13,9,7,1,4,0,0
9,P1,11/08/17,Sp Lisbon,Setubal,1,0,H,0,0,D,12,3,5,1,16,24,7,1,1,2,0,0
10,P1,12/08/17,Belenenses,Maritimo,1,0,H,0,0,D,10,7,4,5,20,18,9,4,3,1,0,0
11,P1,12/08/17,Boavista,Rio Ave,1,2,A,0,1,A,5,7,2,2,17,17,2,3,3,3,0,0
12,P1,12/08/17,Moreirense,Feirense,0,0,D,0,0,D,11,6,0,4,18,23,8,4,1,2,0,0
13,P1,13/08/17,Pacos Ferreira,Aves,2,2,D,0,2,A,16,7,5,3,17,20,2,3,1,3,0,0
14,P1,13/08/17,Sp Braga,Portimonense,2,1,H,1,1,D,8,8,4,1,14,21,5,7,3,3,0,0
15,P1,13/08/17,Tondela,Porto,0,1,A,0,1,A,5,15,2,6,22,10,2,6,3,2,0,0
16,P1,14/08/17,Chaves,Benfica,0,1,A,0,0,D,9,21,4,9,12,15,5,13,1,2,0,0
17,P1,14/08/17,Estoril,Guimaraes,3,0,H,1,0,H,18,11,5,1,16,13,4,7,2,3,1,2
18,P1,18/08/17,Rio Ave,Portimonense,2,0,H,0,0,D,11,11,7,4,15,11,4,6,0,0,0,0
19,P1,19/08/17,Benfica,Belenenses,5,0,H,3,0,H,20,7,14,4,22,11,6,2,0,1,0,0
