,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,P1,09/08/2019,20:30,Portimonense,Belenenses,0,0,D,0,0,D,16,8,5,2,19,15,5,5,1,1,0,0
1,P1,10/08/2019,16:30,Santa Clara,Famalicao,0,2,A,0,1,A,22,14,6,6,14,22,14,6,0,3,0,0
2,P1,10/08/2019,19:00,Gil Vicente,Porto,2,1,H,0,0,D,13,16,7,5,15,19,4,6,3,3,0,0
3,P1,10/08/2019,21:30,Benfica,Pacos Ferreira,5,0,H,2,0,H,15,7,7,0,15,11,10,3,0,4,0,1
4,P1,11/08/2019,16:00,Boavista,Aves,2,1,H,1,1,D,8,17,3,2,24,20,3,8,5,3,0,0
5,P1,11/08/2019,18:30,Maritimo,Sp Lisbon,1,1,D,1,1,D,10,17,3,2,14,14,2,8,4,4,0,0
6,P1,11/08/2019,21:00,Sp Braga,Moreirense,3,1,H,1,0,H,19,11,9,4,14,11,7,4,2,2,0,0
7,P1,12/08/2019,20:15,Setubal,Tondela,0,0,D,0,0,D,7,7,4,2,23,18,3,3,7,2,1,0
8,P1,16/08/2019,20:30,Famalicao,Rio Ave,1,0,H,0,0,D,16,13,4,1,16,16,5,2,3,5,0,1
9,P1,17/08/2019,16:30,Moreirense,Gil Vicente,3,0,H,2,0,H,12,16,4,2,17,16,3,5,0,3,0,0
10,P1,17/08/2019,19:00,Belenenses,Benfica,0,2,A,0,0,D,7,21,1,5,11,10,5,4,7,1,0,0
11,P1,17/08/2019,21:30,Porto,Setubal,4,0,H,2,0,H,23,6,10,5,16,16,7,0,0,2,0,0
12,P1,18/08/2019,16:00,Aves,Maritimo,3,1,H,2,1,H,11,10,4,1,25,14,4,6,2,4,0,0
13,P1,18/08/2019,16:00,Pacos Ferreira,Santa Clara,0,1,A,0,1,A,19,6,3,3,24,20,8,3,3,1,0,0
14,P1,18/08/2019,18:30,Guimaraes,Boavista,1,1,D,1,0,H,16,5,4,2,14,13,4,2,3,3,0,0
15,P1,18/08/2019,21:00,Sp Lisbon,Sp Braga,2,1,H,2,0,H,11,21,6,7,13,16,2,7,3,5,0,0
