,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR
0,SC0,29/07/00,Dunfermline,Aberdeen,0,0,D,0,0,D,7653,Stuart Dougal,23.0,10.0,8.0,0.0,0.0,0.0,6.0,6.0,9.0,10.0,5,1,1,3,0,1
1,SC0,29/07/00,Motherwell,Dundee,0,2,A,0,1,A,6161,John Rowbotham,8.0,7.0,5.0,4.0,1.0,2.0,5.0,4.0,14.0,13.0,3,4,2,2,0,1
2,SC0,29/07/00,Rangers,St Johnstone,2,1,H,0,1,A,48062,Douglas McDonald,12.0,5.0,8.0,2.0,0.0,0.0,4.0,2.0,8.0,11.0,3,2,2,0,0,0
3,SC0,29/07/00,St Mirren,Kilmarnock,0,1,A,0,0,D,7388,Willie Young,9.0,5.0,4.0,3.0,0.0,1.0,6.0,6.0,16.0,16.0,1,1,1,2,0,0
4,SC0,30/07/00,Dundee United,Celtic,1,2,A,0,1,A,11761,Hugh Dallas,8.0,15.0,4.0,9.0,0.0,1.0,6.0,11.0,17.0,13.0,1,1,4,1,0,0
5,SC0,30/07/00,Hearts,Hibernian,0,0,D,0,0,D,17132,Kenny Clark,10.0,14.0,5.0,8.0,1.0,0.0,6.0,9.0,18.0,16.0,1,3,1,4,0,0
6,SC0,05/08/00,Aberdeen,St Mirren,2,1,H,1,1,D,12000,Douglas McDonald,17.0,10.0,5.0,5.0,0.0,2.0,5.0,4.0,19.0,11.0,2,1,1,1,0,0
7,SC0,05/08/00,Celtic,Motherwell,1,0,H,1,0,H,58534,Alan Freeland,14.0,5.0,5.0,3.0,1.0,0.0,5.0,1.0,12.0,18.0,5,2,2,3,2,1
8,SC0,05/08/00,Dundee,Dunfermline,3,0,H,1,0,H,7152,John Underhill,11.0,6.0,9.0,2.0,0.0,0.0,3.0,5.0,7.0,8.0,9,2,0,2,0,0
9,SC0,05/08/00,Hibernian,Dundee United,3,0,H,2,0,H,9541,Stuart Dougal,17.0,7.0,9.0,3.0,0.0,0.0,7.0,1.0,13.0,10.0,7,0,0,4,0,0
10,SC0,05/08/00,Kilmarnock,Rangers,2,4,A,2,1,H,14679,Tom Brown,6.0,8.0,2.0,4.0,0.0,0.0,1.0,7.0,15.0,17.0,2,8,3,5,1,0
11,SC0,06/08/00,St Johnstone,Hearts,2,2,D,1,0,H,6164,John Rowbotham,8.0,12.0,3.0,6.0,0.0,0.0,4.0,8.0,18.0,18.0,4,2,4,3,0,0
12,SC0,12/08/00,Dundee United,Motherwell,1,1,D,0,1,A,6201,Willie Young,13.0,8.0,3.0,5.0,0.0,0.0,4.0,4.0,8.0,13.0,1,5,0,0,0,0
13,SC0,12/08/00,Dunfermline,St Johnstone,1,1,D,1,0,H,4775,David Somers,7.0,11.0,3.0,6.0,0.0,0.0,6.0,7.0,17.0,13.0,2,0,3,4,0,1
14,SC0,12/08/00,Hibernian,Dundee,5,1,H,2,1,H,12705,George Clyde,16.0,9.0,11.0,5.0,1.0,0.0,6.0,4.0,14.0,15.0,7,1,1,4,0,2
15,SC0,13/08/00,Aberdeen,Hearts,1,1,D,1,1,D,11798,Hugh Dallas,11.0,6.0,5.0,3.0,1.0,0.0,6.0,7.0,14.0,16.0,4,6,1,3,0,0
16,SC0,13/08/00,Celtic,Kilmarnock,2,1,H,0,1,A,58054,Kenny Clark,12.0,10.0,6.0,4.0,0.0,0.0,5.0,4.0,20.0,15.0,2,0,4,2,0,1
17,SC0,13/08/00,St Mirren,Rangers,1,3,A,0,1,A,8851,Michael McCurry,9.0,20.0,4.0,10.0,0.0,1.0,1.0,5.0,11.0,16.0,2,3,3,2,0,0
18,SC0,16/08/00,Kilmarnock,Hibernian,0,1,A,0,1,A,8672,Alan Freeland,11.0,6.0,4.0,5.0,0.0,0.0,5.0,1.0,13.0,10.0,1,2,1,2,0,0
19,SC0,16/08/00,Motherwell,Dunfermline,0,1,A,0,0,D,5257,Douglas McDonald,19.0,12.0,7.0,4.0,1.0,0.0,9.0,3.0,14.0,10.0,0,3,2,1,0,0
20,SC0,19/08/00,Aberdeen,Hibernian,0,2,A,0,1,A,13157,Michael McCurry,8.0,18.0,5.0,11.0,0.0,1.0,6.0,6.0,14.0,24.0,0,2,0,3,1,0
21,SC0,19/08/00,Dundee United,St Johnstone,1,2,A,0,2,A,6636,Douglas McDonald,11.0,11.0,8.0,5.0,1.0,1.0,5.0,9.0,14.0,15.0,3,3,2,2,0,0
22,SC0,19/08/00,Hearts,Celtic,2,4,A,0,3,A,16744,Willie Young,8.0,10.0,3.0,4.0,0.0,1.0,7.0,8.0,11.0,21.0,0,3,1,0,0,0
23,SC0,19/08/00,Kilmarnock,Motherwell,3,2,H,1,1,D,6652,George Clyde,10.0,6.0,6.0,3.0,0.0,0.0,6.0,3.0,8.0,8.0,2,9,1,1,0,0
24,SC0,19/08/00,Rangers,Dunfermline,4,1,H,3,1,H,47452,Kenny Clark,16.0,8.0,11.0,5.0,0.0,0.0,11.0,1.0,7.0,4.0,2,2,0,1,0,0
25,SC0,19/08/00,St Mirren,Dundee,2,1,H,0,0,D,5165,Hugh Dallas,11.0,9.0,8.0,2.0,0.0,0.0,11.0,6.0,5.0,11.0,3,0,1,3,0,0
26,SC0,26/08/00,Dunfermline,Dundee United,1,0,H,1,0,H,4980,Michael McCurry,11.0,6.0,6.0,3.0,0.0,0.0,5.0,6.0,11.0,13.0,2,0,0,1,0,0
27,SC0,26/08/00,Hibernian,St Mirren,2,0,H,1,0,H,11806,David Somers,18.0,7.0,11.0,0.0,0.0,0.0,7.0,1.0,19.0,19.0,1,2,1,4,0,0
28,SC0,26/08/00,St Johnstone,Kilmarnock,1,1,D,1,1,D,5600,Willie Young,8.0,10.0,5.0,4.0,0.0,2.0,1.0,1.0,9.0,8.0,8,4,1,1,0,0
29,SC0,27/08/00,Celtic,Rangers,6,2,H,3,1,H,59476,Stuart Dougal,13.0,11.0,8.0,4.0,0.0,0.0,3.0,2.0,15.0,16.0,0,4,3,4,0,1
30,SC0,27/08/00,Dundee,Hearts,1,1,D,0,0,D,6779,Kenny Clark,8.0,14.0,5.0,9.0,0.0,0.0,4.0,2.0,16.0,18.0,5,5,3,4,0,0
31,SC0,27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,5541,John Rowbotham,9.0,15.0,4.0,7.0,0.0,0.0,8.0,6.0,19.0,11.0,15,4,3,1,0,0
32,SC0,09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,11026,Tom Brown,13.0,6.0,5.0,4.0,0.0,0.0,12.0,5.0,16.0,17.0,8,4,1,4,0,1
33,SC0,09/09/00,Celtic,Hibernian,3,0,H,2,0,H,60091,John Rowbotham,21.0,7.0,9.0,3.0,0.0,0.0,9.0,1.0,16.0,13.0,1,1,1,3,0,0
34,SC0,09/09/00,Dundee,Rangers,1,1,D,0,0,D,10439,Douglas McDonald,7.0,7.0,4.0,3.0,0.0,0.0,4.0,7.0,8.0,20.0,3,9,2,2,0,0
