,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,09/08/08,Aberdeen,Inverness C,0,2,A,0,1,A,M Tumilty,7,8,2,3,8,12,12,2,2,1,0,0
1,SC0,09/08/08,Falkirk,Rangers,0,1,A,0,0,D,D McDonald,6,8,2,5,7,12,11,4,0,3,0,0
2,SC0,09/08/08,Hearts,Motherwell,3,2,H,2,1,H,I Brines,10,6,6,2,14,14,1,3,3,2,0,0
3,SC0,09/08/08,Kilmarnock,Hibernian,1,0,H,0,0,D,C Murray,11,11,5,1,8,12,10,4,1,2,0,0
4,SC0,10/08/08,Celtic,St Mirren,1,0,H,0,0,D,E Smith,12,6,4,2,13,13,3,3,1,0,0,1
5,SC0,11/08/08,Hamilton,Dundee United,3,1,H,2,1,H,S Dougal,13,9,11,5,16,14,6,7,2,4,0,0
6,SC0,16/08/08,Hibernian,Falkirk,3,2,H,2,1,H,W Collum,16,12,6,6,13,15,0,4,2,1,0,0
7,SC0,16/08/08,Inverness C,Hamilton,0,1,A,0,1,A,S O'Reilly,6,5,2,2,17,20,4,6,1,2,0,0
8,SC0,16/08/08,Motherwell,Aberdeen,0,1,A,0,0,D,S Conroy,5,4,3,3,9,13,3,3,0,4,0,0
9,SC0,16/08/08,Rangers,Hearts,2,0,H,1,0,H,S Dougal,13,7,7,5,12,13,1,4,1,2,0,1
10,SC0,16/08/08,St Mirren,Kilmarnock,0,0,D,0,0,D,D Somers,9,9,3,5,14,12,4,9,1,2,0,0
11,SC0,17/08/08,Dundee United,Celtic,1,1,D,0,0,D,C Richmond,9,13,6,8,19,14,5,5,1,1,0,0
12,SC0,23/08/08,Aberdeen,Rangers,1,1,D,1,1,D,C Thomson,5,11,3,4,24,18,0,3,2,0,0,0
13,SC0,23/08/08,Celtic,Falkirk,3,0,H,2,0,H,I Brines,16,8,9,5,7,17,5,3,1,2,0,0
14,SC0,23/08/08,Hearts,St Mirren,2,1,H,1,0,H,C Murray,17,4,11,3,15,13,13,2,2,3,0,1
15,SC0,23/08/08,Inverness C,Hibernian,1,1,D,1,0,H,E Smith,6,13,5,3,8,5,8,2,3,0,0,0
16,SC0,23/08/08,Kilmarnock,Hamilton,1,0,H,1,0,H,C Allan,11,5,3,0,11,22,12,4,3,1,0,1
17,SC0,23/08/08,Motherwell,Dundee United,1,1,D,1,1,D,D McDonald,8,7,4,3,18,15,7,6,2,4,0,0
18,SC0,30/08/08,Dundee United,Kilmarnock,0,2,A,0,1,A,M Tumilty,5,3,1,3,13,12,13,2,1,3,0,0
19,SC0,30/08/08,Falkirk,Inverness C,1,2,A,0,0,D,M McCurry,6,17,4,8,12,10,1,9,0,1,0,0
20,SC0,30/08/08,Hamilton,Hearts,1,2,A,0,1,A,C Thomson,9,13,2,7,8,9,7,3,2,0,0,0
21,SC0,30/08/08,Hibernian,Motherwell,0,1,A,0,0,D,S Dougal,11,6,3,3,11,13,3,2,0,0,0,0
22,SC0,30/08/08,St Mirren,Aberdeen,0,1,A,0,1,A,W Collum,12,8,7,7,9,13,6,2,3,2,0,0
23,SC0,31/08/08,Celtic,Rangers,2,4,A,1,1,D,D McDonald,11,12,6,7,12,18,7,8,2,5,1,1
24,SC0,13/09/08,Aberdeen,Hamilton,1,2,A,1,1,D,A Muir,7,3,1,2,10,12,2,4,2,3,0,0
25,SC0,13/09/08,Falkirk,Hearts,2,1,H,1,0,H,S Conroy,7,8,5,6,15,18,3,6,3,1,0,0
26,SC0,13/09/08,Hibernian,Dundee United,2,1,H,1,1,D,D Somers,7,9,2,5,17,21,1,9,2,2,1,0
27,SC0,13/09/08,Inverness C,St Mirren,1,2,A,1,0,H,I Brines,10,4,5,2,15,19,3,4,1,1,0,0
28,SC0,13/09/08,Motherwell,Celtic,2,4,A,0,4,A,C Thomson,13,20,7,13,12,12,4,4,3,3,0,0
29,SC0,13/09/08,Rangers,Kilmarnock,2,1,H,0,1,A,C Murray,13,6,11,5,17,13,10,2,3,2,1,0
30,SC0,20/09/08,Aberdeen,Dundee United,0,1,A,0,0,D,C Murray,12,5,4,1,9,19,10,3,1,3,0,0
31,SC0,20/09/08,Hamilton,Hibernian,0,1,A,0,1,A,D McDonald,14,10,4,4,10,6,12,7,2,2,0,0
32,SC0,20/09/08,Hearts,Inverness C,1,0,H,1,0,H,W Collum,11,10,4,5,13,8,7,8,3,2,0,0
33,SC0,20/09/08,St Mirren,Falkirk,1,1,D,0,0,D,E Norris,7,7,4,2,12,19,7,4,1,2,0,0
34,SC0,21/09/08,Kilmarnock,Celtic,1,3,A,0,1,A,M McCurry,2,9,2,5,14,15,6,5,1,2,0,1
35,SC0,21/09/08,Rangers,Motherwell,2,1,H,0,0,D,E Smith,17,7,9,3,8,17,1,3,2,2,0,0
36,SC0,27/09/08,Celtic,Aberdeen,3,2,H,1,0,H,E Smith,13,9,8,4,10,7,7,2,1,0,0,0
37,SC0,27/09/08,Dundee United,Hearts,3,0,H,1,0,H,D McDonald,13,8,7,5,15,23,3,5,0,3,0,1
38,SC0,27/09/08,Falkirk,Hamilton,4,1,H,1,0,H,M Tumilty,14,9,9,5,14,16,3,5,0,1,0,0
39,SC0,27/09/08,Inverness C,Kilmarnock,3,1,H,2,1,H,B Winter,13,4,7,0,19,20,8,0,1,5,0,1
40,SC0,27/09/08,Motherwell,St Mirren,2,1,H,0,1,A,S Conroy,12,10,5,5,10,10,7,5,1,3,0,1
41,SC0,28/09/08,Hibernian,Rangers,0,3,A,0,2,A,C Murray,5,11,4,3,12,6,5,9,1,2,0,0
42,SC0,04/10/08,Aberdeen,Hibernian,1,2,A,1,1,D,M McCurry,12,11,6,4,6,15,5,1,2,1,1,0
43,SC0,04/10/08,Celtic,Hamilton,4,0,H,2,0,H,S Conroy,21,5,16,3,9,18,9,2,1,1,0,0
44,SC0,04/10/08,Dundee United,Inverness C,2,1,H,1,0,H,I Brines,14,12,8,5,16,18,10,7,1,2,0,0
45,SC0,04/10/08,Hearts,Kilmarnock,1,2,A,1,1,D,C Thomson,10,7,3,3,10,18,3,4,1,6,0,0
46,SC0,05/10/08,Motherwell,Falkirk,3,2,H,2,1,H,S O'Reilly,12,9,6,4,18,14,7,5,0,2,0,0
47,SC0,05/10/08,St Mirren,Rangers,1,0,H,0,0,D,W Collum,4,24,1,12,16,12,1,14,2,2,0,0
48,SC0,18/10/08,Falkirk,Aberdeen,0,1,A,0,0,D,W Collum,11,8,3,4,20,10,3,1,4,1,1,0
49,SC0,18/10/08,Hamilton,St Mirren,1,2,A,1,2,A,D Somers,6,6,1,5,7,15,2,5,2,1,0,0
50,SC0,18/10/08,Inverness C,Celtic,1,2,A,0,0,D,I Brines,7,8,3,7,12,12,3,6,3,3,0,0
51,SC0,18/10/08,Kilmarnock,Motherwell,1,0,H,0,0,D,A Muir,7,10,6,6,18,12,3,7,3,2,0,1
52,SC0,19/10/08,Hibernian,Hearts,1,1,D,1,1,D,C Thomson,10,7,4,2,17,11,4,3,3,2,0,0
53,SC0,25/10/08,Celtic,Hibernian,4,2,H,2,1,H,C Murray,20,6,12,4,9,9,17,1,2,3,0,0
54,SC0,25/10/08,Dundee United,St Mirren,2,0,H,0,0,D,B Winter,18,10,10,8,18,10,10,3,1,2,0,0
55,SC0,25/10/08,Hamilton,Rangers,1,3,A,1,1,D,D McDonald,5,10,2,4,13,9,5,4,0,0,0,0
56,SC0,25/10/08,Hearts,Aberdeen,1,1,D,1,1,D,S Conroy,12,6,2,3,10,13,8,3,1,1,0,0
57,SC0,25/10/08,Inverness C,Motherwell,1,2,A,0,0,D,E Norris,11,5,5,2,13,15,5,7,0,1,0,0
58,SC0,25/10/08,Kilmarnock,Falkirk,1,2,A,0,1,A,M McCurry,10,5,5,2,14,12,4,4,1,1,0,1
59,SC0,01/11/08,Aberdeen,Kilmarnock,1,0,H,0,0,D,D Somers,14,8,5,4,11,16,5,7,1,4,0,0
60,SC0,01/11/08,Falkirk,Dundee United,0,0,D,0,0,D,I Brines,10,5,7,3,14,15,5,4,1,1,0,1
61,SC0,01/11/08,Motherwell,Hamilton,2,0,H,1,0,H,M Tumilty,13,6,8,2,10,17,5,2,3,2,0,0
62,SC0,01/11/08,Rangers,Inverness C,5,0,H,5,0,H,C Allan,16,8,8,1,12,8,6,5,0,1,0,0
63,SC0,01/11/08,St Mirren,Hibernian,0,0,D,0,0,D,S Finnie,13,11,7,8,6,15,5,6,1,1,0,0
64,SC0,02/11/08,Hearts,Celtic,0,2,A,0,2,A,C Thomson,7,7,4,3,14,12,5,1,0,1,1,0
65,SC0,04/11/08,Rangers,Dundee United,3,3,D,2,2,D,C Thomson,20,8,10,4,8,13,10,1,1,3,0,0
66,SC0,08/11/08,Celtic,Motherwell,2,0,H,1,0,H,D McDonald,15,9,7,5,11,13,3,6,1,1,0,1
67,SC0,08/11/08,Dundee United,Aberdeen,2,1,H,2,0,H,W Collum,10,12,5,4,17,12,3,5,3,2,0,0
68,SC0,08/11/08,Hamilton,Falkirk,1,1,D,1,0,H,C Murray,11,9,2,1,15,11,8,5,3,1,0,0
69,SC0,08/11/08,Hibernian,Inverness C,1,2,A,0,1,A,C Boyle,8,7,5,3,10,18,4,5,2,2,0,0
70,SC0,08/11/08,St Mirren,Hearts,0,1,A,0,0,D,M McCurry,11,7,2,3,12,13,2,8,0,0,0,1
71,SC0,09/11/08,Kilmarnock,Rangers,0,4,A,0,0,D,E Smith,4,12,2,7,12,12,1,6,1,2,0,0
72,SC0,11/11/08,Aberdeen,St Mirren,2,0,H,0,0,D,B Winter,9,7,6,3,9,8,3,3,2,2,0,0
