,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,SP1,09/09/00,Barcelona,Malaga,2,1,H,2,0,H
1,SP1,09/09/00,La Coruna,Ath Bilbao,2,0,H,0,0,D
2,SP1,09/09/00,Real Madrid,Valencia,2,1,H,0,0,D
3,SP1,09/09/00,Sociedad,Santander,2,2,D,0,0,D
4,SP1,09/09/00,Zaragoza,Espanol,1,2,A,0,0,D
5,SP1,10/09/00,Las Palmas,Alaves,0,3,A,0,1,A
6,SP1,10/09/00,Mallorca,Valladolid,1,1,D,1,0,H
7,SP1,10/09/00,Numancia,Oviedo,1,0,H,0,0,D
8,SP1,10/09/00,Osasuna,Celta,0,2,A,0,0,D
9,SP1,10/09/00,Villarreal,Vallecano,1,5,A,0,3,A
10,SP1,16/09/00,Ath Bilbao,Barcelona,3,1,H,1,1,D
11,SP1,16/09/00,Malaga,Real Madrid,3,3,D,1,1,D
12,SP1,16/09/00,Santander,La Coruna,0,3,A,0,1,A
13,SP1,16/09/00,Valencia,Mallorca,4,0,H,1,0,H
14,SP1,16/09/00,Valladolid,Numancia,2,0,H,1,0,H
15,SP1,17/09/00,Alaves,Villarreal,0,1,A,0,0,D
16,SP1,17/09/00,Celta,Sociedad,4,1,H,3,0,H
17,SP1,17/09/00,Espanol,Osasuna,1,2,A,0,0,D
18,SP1,17/09/00,Oviedo,Las Palmas,2,2,D,0,1,A
19,SP1,17/09/00,Vallecano,Zaragoza,0,0,D,0,0,D
20,SP1,23/09/00,Barcelona,Santander,3,1,H,1,0,H
21,SP1,23/09/00,Las Palmas,Valladolid,1,1,D,0,1,A
22,SP1,23/09/00,Real Madrid,Ath Bilbao,4,1,H,2,0,H
23,SP1,23/09/00,Sociedad,La Coruna,1,1,D,1,0,H
24,SP1,23/09/00,Zaragoza,Alaves,2,2,D,1,2,A
25,SP1,24/09/00,Celta,Espanol,1,0,H,1,0,H
26,SP1,24/09/00,Mallorca,Malaga,0,1,A,0,0,D
27,SP1,24/09/00,Numancia,Valencia,0,3,A,0,0,D
28,SP1,24/09/00,Osasuna,Vallecano,2,2,D,1,1,D
29,SP1,24/09/00,Villarreal,Oviedo,1,0,H,1,0,H
30,SP1,30/09/00,Santander,Real Madrid,0,0,D,0,0,D
31,SP1,01/10/00,Alaves,Osasuna,2,0,H,0,0,D
32,SP1,01/10/00,Ath Bilbao,Mallorca,2,1,H,1,1,D
33,SP1,01/10/00,La Coruna,Barcelona,2,0,H,0,0,D
34,SP1,01/10/00,Malaga,Numancia,1,3,A,1,2,A
35,SP1,01/10/00,Oviedo,Zaragoza,2,1,H,2,0,H
36,SP1,01/10/00,Vallecano,Celta,3,0,H,1,0,H
37,SP1,01/10/00,Valencia,Las Palmas,5,1,H,2,0,H
38,SP1,01/10/00,Valladolid,Villarreal,0,0,D,0,0,D
39,SP1,14/10/00,Espanol,Vallecano,0,0,D,0,0,D
40,SP1,14/10/00,Las Palmas,Malaga,2,1,H,0,0,D
41,SP1,14/10/00,Real Madrid,La Coruna,3,0,H,2,0,H
42,SP1,14/10/00,Sociedad,Barcelona,0,6,A,0,6,A
43,SP1,14/10/00,Villarreal,Valencia,1,1,D,0,0,D
44,SP1,15/10/00,Celta,Alaves,1,1,D,1,1,D
45,SP1,15/10/00,Mallorca,Santander,2,1,H,0,1,A
46,SP1,15/10/00,Numancia,Ath Bilbao,0,0,D,0,0,D
47,SP1,15/10/00,Osasuna,Oviedo,0,0,D,0,0,D
48,SP1,15/10/00,Zaragoza,Valladolid,0,0,D,0,0,D
49,SP1,18/10/00,Espanol,Sociedad,1,2,A,1,2,A
50,SP1,21/10/00,Barcelona,Real Madrid,2,0,H,1,0,H
51,SP1,21/10/00,La Coruna,Mallorca,1,1,D,0,0,D
52,SP1,21/10/00,Valencia,Zaragoza,1,0,H,0,0,D
53,SP1,22/10/00,Alaves,Espanol,1,0,H,0,0,D
54,SP1,22/10/00,Ath Bilbao,Las Palmas,0,3,A,0,1,A
55,SP1,22/10/00,Malaga,Villarreal,2,1,H,2,0,H
56,SP1,22/10/00,Oviedo,Celta,3,1,H,2,0,H
57,SP1,22/10/00,Vallecano,Sociedad,4,1,H,2,1,H
58,SP1,22/10/00,Santander,Numancia,4,2,H,2,1,H
59,SP1,22/10/00,Valladolid,Osasuna,1,1,D,1,1,D
60,SP1,28/10/00,Las Palmas,Santander,2,1,H,1,0,H
61,SP1,28/10/00,Mallorca,Barcelona,2,0,H,1,0,H
62,SP1,28/10/00,Numancia,La Coruna,1,2,A,0,2,A
63,SP1,28/10/00,Villarreal,Ath Bilbao,0,0,D,0,0,D
64,SP1,28/10/00,Zaragoza,Malaga,1,1,D,0,0,D
65,SP1,29/10/00,Celta,Valladolid,2,1,H,1,0,H
66,SP1,29/10/00,Espanol,Oviedo,2,0,H,1,0,H
67,SP1,29/10/00,Osasuna,Valencia,1,2,A,1,1,D
68,SP1,29/10/00,Sociedad,Real Madrid,1,4,A,0,2,A
69,SP1,29/10/00,Vallecano,Alaves,0,1,A,0,1,A
70,SP1,31/10/00,La Coruna,Las Palmas,4,0,H,1,0,H
71,SP1,01/11/00,Alaves,Sociedad,0,1,A,0,0,D
72,SP1,01/11/00,Ath Bilbao,Zaragoza,1,2,A,0,1,A
73,SP1,01/11/00,Barcelona,Numancia,1,1,D,0,0,D
74,SP1,01/11/00,Malaga,Osasuna,3,1,H,2,1,H
75,SP1,01/11/00,Oviedo,Vallecano,4,1,H,2,1,H
76,SP1,01/11/00,Real Madrid,Mallorca,0,2,A,0,0,D
77,SP1,01/11/00,Santander,Villarreal,3,1,H,2,0,H
78,SP1,01/11/00,Valencia,Celta,1,0,H,0,0,D
79,SP1,01/11/00,Valladolid,Espanol,1,1,D,0,1,A
80,SP1,04/11/00,Celta,Malaga,1,0,H,0,0,D
81,SP1,04/11/00,Espanol,Valencia,1,0,H,0,0,D
82,SP1,04/11/00,Las Palmas,Barcelona,0,1,A,0,0,D
83,SP1,04/11/00,Numancia,Real Madrid,3,1,H,2,1,H
84,SP1,04/11/00,Villarreal,La Coruna,3,2,H,1,1,D
85,SP1,05/11/00,Alaves,Oviedo,4,0,H,2,0,H
86,SP1,05/11/00,Osasuna,Ath Bilbao,1,1,D,0,1,A
87,SP1,05/11/00,Sociedad,Mallorca,0,1,A,0,0,D
88,SP1,05/11/00,Vallecano,Valladolid,2,1,H,1,0,H
