,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
0,T1,11/08/00,Kocaelispor,Fenerbahce,0,4,A,0,2,A
1,T1,12/08/00,Besiktas,Yozgatspor,3,0,H,1,0,H
2,T1,12/08/00,Bursaspor,Gaziantepspor,3,3,D,1,1,D
3,T1,12/08/00,Erzurumspor,Trabzonspor,1,3,A,0,0,D
4,T1,12/08/00,Genclerbirligi,Rizespor,0,0,D,0,0,D
5,T1,13/08/00,Denizlispor,Galatasaray,0,1,A,0,1,A
6,T1,13/08/00,Istanbulspor,Adanaspor,1,6,A,1,3,A
7,T1,13/08/00,Samsunspor,Ankaragucu,3,0,H,3,0,H
8,T1,13/08/00,Siirt Jet-PA,Antalyaspor,1,2,A,1,0,H
9,T1,18/08/00,Antalyaspor,Besiktas,1,2,A,0,0,D
10,T1,19/08/00,Ankaragucu,Kocaelispor,1,0,H,1,0,H
11,T1,19/08/00,Galatasaray,Erzurumspor,7,0,H,3,0,H
12,T1,19/08/00,Siirt Jet-PA,Rizespor,2,3,A,2,1,H
13,T1,19/08/00,Yozgatspor,Denizlispor,2,0,H,0,0,D
14,T1,20/08/00,Fenerbahce,Istanbulspor,2,0,H,0,0,D
15,T1,20/08/00,Gaziantepspor,Samsunspor,4,0,H,2,0,H
16,T1,20/08/00,Genclerbirligi,Adanaspor,1,0,H,0,0,D
17,T1,20/08/00,Trabzonspor,Bursaspor,2,1,H,1,0,H
18,T1,25/08/00,Samsunspor,Trabzonspor,1,1,D,1,1,D
19,T1,26/08/00,Denizlispor,Erzurumspor,3,1,H,3,0,H
20,T1,26/08/00,Genclerbirligi,Fenerbahce,3,1,H,1,0,H
21,T1,26/08/00,Siirt Jet-PA,Adanaspor,2,2,D,1,1,D
22,T1,27/08/00,Besiktas,Rizespor,2,1,H,1,1,D
23,T1,27/08/00,Istanbulspor,Ankaragucu,0,2,A,0,1,A
24,T1,27/08/00,Kocaelispor,Gaziantepspor,1,2,A,1,2,A
25,T1,27/08/00,Yozgatspor,Antalyaspor,0,0,D,0,0,D
26,T1,06/09/00,Bursaspor,Galatasaray,0,2,A,0,1,A
27,T1,08/09/00,Adanaspor,Besiktas,1,1,D,1,0,H
28,T1,09/09/00,Ankaragucu,Genclerbirligi,2,3,A,0,1,A
29,T1,09/09/00,Antalyaspor,Denizlispor,4,1,H,2,0,H
30,T1,09/09/00,Galatasaray,Samsunspor,1,2,A,1,0,H
31,T1,09/09/00,Trabzonspor,Kocaelispor,2,1,H,1,0,H
32,T1,10/09/00,Erzurumspor,Bursaspor,5,0,H,2,0,H
33,T1,10/09/00,Fenerbahce,Siirt Jet-PA,4,2,H,1,1,D
34,T1,10/09/00,Gaziantepspor,Istanbulspor,0,0,D,0,0,D
35,T1,10/09/00,Yozgatspor,Rizespor,0,0,D,0,0,D
36,T1,15/09/00,Kocaelispor,Galatasaray,1,4,A,1,1,D
37,T1,16/09/00,Besiktas,Fenerbahce,3,0,H,1,0,H
38,T1,16/09/00,Denizlispor,Bursaspor,1,1,D,1,1,D
39,T1,16/09/00,Samsunspor,Erzurumspor,2,2,D,1,0,H
40,T1,17/09/00,Antalyaspor,Rizespor,2,1,H,2,1,H
41,T1,17/09/00,Genclerbirligi,Gaziantepspor,2,0,H,0,0,D
42,T1,17/09/00,Istanbulspor,Trabzonspor,1,0,H,1,0,H
43,T1,17/09/00,Siirt Jet-PA,Ankaragucu,1,1,D,1,0,H
44,T1,17/09/00,Yozgatspor,Adanaspor,4,1,H,2,0,H
45,T1,22/09/00,Ankaragucu,Besiktas,1,5,A,0,2,A
46,T1,23/09/00,Adanaspor,Antalyaspor,1,1,D,0,0,D
47,T1,23/09/00,Bursaspor,Samsunspor,0,2,A,0,0,D
48,T1,23/09/00,Gaziantepspor,Siirt Jet-PA,4,0,H,1,0,H
49,T1,23/09/00,Galatasaray,Istanbulspor,1,1,D,1,1,D
50,T1,24/09/00,Denizlispor,Rizespor,0,0,D,0,0,D
51,T1,24/09/00,Erzurumspor,Kocaelispor,1,0,H,0,0,D
52,T1,24/09/00,Fenerbahce,Yozgatspor,3,1,H,1,0,H
53,T1,24/09/00,Trabzonspor,Genclerbirligi,2,0,H,0,0,D
54,T1,29/09/00,Denizlispor,Samsunspor,3,1,H,3,1,H
55,T1,30/09/00,Genclerbirligi,Galatasaray,1,4,A,1,2,A
56,T1,30/09/00,Istanbulspor,Erzurumspor,1,0,H,0,0,D
57,T1,30/09/00,Kocaelispor,Bursaspor,0,0,D,0,0,D
58,T1,01/10/00,Adanaspor,Rizespor,1,0,H,1,0,H
59,T1,01/10/00,Antalyaspor,Fenerbahce,0,1,A,0,0,D
60,T1,01/10/00,Besiktas,Gaziantepspor,2,4,A,0,1,A
61,T1,01/10/00,Siirt Jet-PA,Trabzonspor,1,4,A,1,2,A
62,T1,01/10/00,Yozgatspor,Ankaragucu,0,1,A,0,0,D
63,T1,13/10/00,Adanaspor,Denizlispor,2,3,A,1,1,D
64,T1,14/10/00,Bursaspor,Istanbulspor,2,5,A,1,0,H
65,T1,14/10/00,Gaziantepspor,Yozgatspor,3,1,H,0,0,D
66,T1,14/10/00,Galatasaray,Siirt Jet-PA,4,1,H,3,0,H
67,T1,14/10/00,Trabzonspor,Besiktas,2,0,H,2,0,H
68,T1,15/10/00,Ankaragucu,Antalyaspor,1,1,D,0,0,D
69,T1,15/10/00,Erzurumspor,Genclerbirligi,1,2,A,0,0,D
70,T1,15/10/00,Fenerbahce,Rizespor,1,0,H,0,0,D
71,T1,15/10/00,Samsunspor,Kocaelispor,0,1,A,0,0,D
72,T1,19/10/00,Antalyaspor,Gaziantepspor,2,2,D,2,2,D
73,T1,20/10/00,Adanaspor,Fenerbahce,1,1,D,0,1,A
74,T1,21/10/00,Besiktas,Galatasaray,3,1,H,1,1,D
75,T1,21/10/00,Denizlispor,Kocaelispor,2,1,H,2,1,H
76,T1,21/10/00,Genclerbirligi,Bursaspor,0,1,A,0,0,D
77,T1,21/10/00,Istanbulspor,Samsunspor,0,0,D,0,0,D
78,T1,21/10/00,Rizespor,Ankaragucu,1,1,D,0,1,A
79,T1,21/10/00,Siirt Jet-PA,Erzurumspor,1,1,D,1,1,D
80,T1,21/10/00,Yozgatspor,Trabzonspor,1,1,D,0,1,A
81,T1,27/10/00,Fenerbahce,Denizlispor,5,2,H,1,1,D
82,T1,28/10/00,Ankaragucu,Adanaspor,4,0,H,1,0,H
83,T1,28/10/00,Bursaspor,Siirt Jet-PA,3,2,H,3,1,H
84,T1,28/10/00,Erzurumspor,Besiktas,1,3,A,1,1,D
85,T1,28/10/00,Trabzonspor,Antalyaspor,4,0,H,1,0,H
86,T1,29/10/00,Gaziantepspor,Rizespor,2,1,H,1,1,D
87,T1,29/10/00,Galatasaray,Yozgatspor,3,0,H,1,0,H
88,T1,29/10/00,Kocaelispor,Istanbulspor,1,1,D,0,1,A
89,T1,29/10/00,Samsunspor,Genclerbirligi,1,2,A,0,1,A
90,T1,03/11/00,Rizespor,Trabzonspor,2,1,H,0,0,D
91,T1,04/11/00,Besiktas,Bursaspor,2,1,H,1,1,D
92,T1,04/11/00,Denizlispor,Istanbulspor,0,4,A,0,3,A
93,T1,04/11/00,Genclerbirligi,Kocaelispor,0,0,D,0,0,D
94,T1,05/11/00,Adanaspor,Gaziantepspor,0,1,A,0,0,D
95,T1,05/11/00,Fenerbahce,Ankaragucu,5,1,H,3,0,H
96,T1,05/11/00,Siirt Jet-PA,Samsunspor,1,2,A,0,0,D
97,T1,05/11/00,Yozgatspor,Erzurumspor,4,0,H,0,0,D
98,T1,10/11/00,Gaziantepspor,Fenerbahce,2,1,H,2,0,H
99,T1,11/11/00,Bursaspor,Yozgatspor,1,4,A,1,1,D
100,T1,11/11/00,Erzurumspor,Antalyaspor,0,1,A,0,0,D
101,T1,11/11/00,Galatasaray,Rizespor,2,0,H,1,0,H
102,T1,11/11/00,Istanbulspor,Genclerbirligi,2,1,H,1,1,D
103,T1,12/11/00,Ankaragucu,Denizlispor,3,1,H,2,0,H
104,T1,12/11/00,Kocaelispor,Siirt Jet-PA,1,1,D,1,0,H
105,T1,12/11/00,Samsunspor,Besiktas,2,3,A,1,2,A
106,T1,12/11/00,Trabzonspor,Adanaspor,3,3,D,0,1,A
107,T1,17/11/00,Besiktas,Kocaelispor,3,2,H,2,1,H
108,T1,18/11/00,Adanaspor,Galatasaray,1,2,A,1,1,D
109,T1,18/11/00,Ankaragucu,Gaziantepspor,1,1,D,0,1,A
110,T1,18/11/00,Rizespor,Erzurumspor,4,1,H,3,0,H
111,T1,18/11/00,Siirt Jet-PA,Istanbulspor,0,2,A,0,0,D
112,T1,19/11/00,Antalyaspor,Bursaspor,2,1,H,1,1,D
113,T1,19/11/00,Denizlispor,Genclerbirligi,0,0,D,0,0,D
114,T1,19/11/00,Fenerbahce,Trabzonspor,5,2,H,3,0,H
115,T1,19/11/00,Yozgatspor,Samsunspor,0,0,D,0,0,D
116,T1,24/11/00,Trabzonspor,Ankaragucu,2,2,D,2,0,H
117,T1,25/11/00,Erzurumspor,Adanaspor,2,0,H,1,0,H
118,T1,25/11/00,Istanbulspor,Besiktas,2,3,A,1,2,A
119,T1,25/11/00,Samsunspor,Antalyaspor,4,2,H,0,1,A
120,T1,26/11/00,Bursaspor,Rizespor,2,1,H,0,0,D
121,T1,26/11/00,Gaziantepspor,Denizlispor,1,1,D,1,1,D
122,T1,26/11/00,Genclerbirligi,Siirt Jet-PA,2,0,H,0,0,D
123,T1,26/11/00,Galatasaray,Fenerbahce,0,0,D,0,0,D
124,T1,26/11/00,Kocaelispor,Yozgatspor,2,2,D,2,0,H
125,T1,01/12/00,Ankaragucu,Galatasaray,1,3,A,1,2,A
126,T1,02/12/00,Antalyaspor,Kocaelispor,2,2,D,1,1,D
127,T1,02/12/00,Besiktas,Genclerbirligi,0,3,A,0,2,A
128,T1,02/12/00,Trabzonspor,Gaziantepspor,3,1,H,2,0,H
129,T1,02/12/00,Yozgatspor,Istanbulspor,3,0,H,1,0,H
130,T1,03/12/00,Adanaspor,Bursaspor,1,1,D,0,1,A
131,T1,03/12/00,Fenerbahce,Erzurumspor,4,2,H,2,1,H
132,T1,03/12/00,Rizespor,Samsunspor,0,1,A,0,0,D
133,T1,03/12/00,Siirt Jet-PA,Denizlispor,1,1,D,0,0,D
134,T1,08/12/00,Denizlispor,Trabzonspor,2,0,H,0,0,D
135,T1,09/12/00,Bursaspor,Fenerbahce,2,2,D,0,1,A
136,T1,09/12/00,Istanbulspor,Antalyaspor,2,0,H,0,0,D
137,T1,09/12/00,Kocaelispor,Rizespor,2,1,H,0,1,A
138,T1,09/12/00,Samsunspor,Adanaspor,3,1,H,1,0,H
139,T1,10/12/00,Erzurumspor,Ankaragucu,1,1,D,1,1,D
140,T1,10/12/00,Genclerbirligi,Yozgatspor,2,1,H,1,1,D
141,T1,10/12/00,Galatasaray,Gaziantepspor,2,0,H,1,0,H
