,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,T1,11/08/17,Buyuksehyr,Bursaspor,1,0,H,1,0,H,5,4,3,1,15,9,0,3,1,1,0,0
1,T1,12/08/17,Akhisar Belediyespor,Sivasspor,1,0,H,0,0,D,9,5,3,1,17,15,3,4,3,2,0,0
2,T1,12/08/17,Alanyaspor,Kasimpasa,1,3,A,1,2,A,16,7,7,3,12,23,5,3,2,4,0,0
3,T1,12/08/17,Genclerbirligi,Karabukspor,1,1,D,1,1,D,6,6,3,1,20,19,4,1,2,3,0,0
4,T1,12/08/17,Goztep,Fenerbahce,2,2,D,1,1,D,6,8,4,5,20,12,0,4,4,1,0,0
5,T1,13/08/17,Besiktas,Antalyaspor,2,0,H,1,0,H,9,6,5,2,23,16,3,3,3,4,0,0
6,T1,13/08/17,Trabzonspor,Konyaspor,2,1,H,1,1,D,9,11,6,4,20,20,1,6,4,2,0,0
7,T1,13/08/17,Yeni Malatyaspor,Osmanlispor,3,1,H,1,0,H,10,9,6,5,14,13,3,5,1,3,0,1
8,T1,14/08/17,Galatasaray,Kayserispor,4,1,H,3,1,H,13,6,8,2,14,18,2,2,2,4,0,1
9,T1,18/08/17,Kasimpasa,Besiktas,2,2,D,1,2,A,7,11,4,5,14,20,4,4,4,2,0,0
10,T1,19/08/17,Bursaspor,Alanyaspor,3,2,H,2,0,H,11,11,6,6,16,15,1,2,2,2,0,0
11,T1,19/08/17,Karabukspor,Buyuksehyr,3,1,H,2,1,H,8,4,3,2,14,8,5,1,2,1,0,0
12,T1,19/08/17,Osmanlispor,Galatasaray,1,3,A,0,2,A,7,8,4,6,16,17,4,5,2,2,0,0
13,T1,19/08/17,Sivasspor,Yeni Malatyaspor,2,0,H,1,0,H,8,8,2,2,19,16,4,7,3,2,0,0
14,T1,20/08/17,Antalyaspor,Akhisar Belediyespor,2,2,D,1,1,D,7,10,3,4,15,10,3,4,3,2,0,0
15,T1,20/08/17,Fenerbahce,Trabzonspor,2,2,D,1,1,D,8,5,3,3,17,28,4,9,2,4,0,0
16,T1,20/08/17,Kayserispor,Goztep,1,0,H,1,0,H,6,8,2,4,15,19,3,5,3,1,0,0
17,T1,21/08/17,Konyaspor,Genclerbirligi,3,0,H,2,0,H,9,6,6,3,14,15,1,2,1,1,0,0
18,T1,25/08/17,Alanyaspor,Karabukspor,1,1,D,0,1,A,6,12,3,6,9,27,9,2,1,5,0,0
19,T1,25/08/17,Galatasaray,Sivasspor,3,0,H,1,0,H,9,6,6,2,20,11,6,5,3,0,0,0
20,T1,26/08/17,Besiktas,Bursaspor,2,1,H,1,1,D,11,3,7,2,17,12,8,4,2,3,0,0
21,T1,26/08/17,Goztep,Trabzonspor,3,2,H,2,2,D,15,10,9,2,18,18,3,4,2,4,0,0
22,T1,26/08/17,Kayserispor,Osmanlispor,2,2,D,1,1,D,8,13,4,4,13,9,6,3,5,1,1,1
23,T1,26/08/17,Yeni Malatyaspor,Antalyaspor,1,1,D,0,1,A,9,8,5,5,13,18,10,1,3,2,0,0
24,T1,27/08/17,Akhisar Belediyespor,Kasimpasa,2,1,H,0,0,D,10,9,5,3,8,14,4,3,3,3,1,0
25,T1,27/08/17,Buyuksehyr,Konyaspor,2,1,H,0,0,D,9,8,6,4,19,12,6,7,4,5,0,1
26,T1,27/08/17,Genclerbirligi,Fenerbahce,1,2,A,1,1,D,5,9,2,3,13,12,8,3,3,4,2,0
27,T1,09/09/17,Fenerbahce,Buyuksehyr,2,3,A,1,2,A,8,9,2,7,17,12,5,3,2,4,0,0
