,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,T1,16/08/2019,18:30,Denizlispor,Galatasaray,2,0,H,0,0,D,15,7,5,4,12,9,6,2,4,5,0,1
1,T1,17/08/2019,17:15,Genclerbirligi,Rizespor,0,1,A,0,0,D,8,11,1,5,16,14,4,2,4,2,1,0
2,T1,17/08/2019,19:45,Kayserispor,Alanyaspor,0,1,A,0,0,D,6,14,3,7,13,10,6,9,4,1,0,0
3,T1,17/08/2019,19:45,Sivasspor,Besiktas,3,0,H,1,0,H,13,13,8,3,15,9,7,0,4,3,0,0
4,T1,18/08/2019,17:15,Konyaspor,Ankaragucu,0,0,D,0,0,D,23,9,4,1,7,14,4,1,0,2,0,0
5,T1,18/08/2019,19:45,Goztep,Antalyaspor,0,1,A,0,1,A,7,10,1,3,15,13,5,5,3,3,0,0
6,T1,18/08/2019,19:45,Kasimpasa,Trabzonspor,1,1,D,1,1,D,15,17,7,2,14,17,5,9,2,0,0,0
7,T1,18/08/2019,19:45,Yeni Malatyaspor,Buyuksehyr,3,0,H,0,0,D,9,15,5,4,11,15,2,11,3,2,0,1
8,T1,19/08/2019,18:00,Fenerbahce,Gaziantep,5,0,H,3,0,H,18,4,9,0,14,18,4,2,1,4,0,0
9,T1,23/08/2019,18:30,Besiktas,Goztep,3,0,H,1,0,H,8,12,4,3,19,9,8,3,1,1,0,0
10,T1,24/08/2019,17:15,Ankaragucu,Kayserispor,1,1,D,0,0,D,15,15,5,5,18,9,1,7,3,1,0,0
11,T1,24/08/2019,19:45,Alanyaspor,Kasimpasa,4,1,H,1,1,D,18,6,8,1,13,11,1,4,4,4,0,0
12,T1,24/08/2019,19:45,Buyuksehyr,Fenerbahce,1,2,A,1,0,H,12,13,4,3,11,10,4,4,0,0,0,0
13,T1,25/08/2019,17:15,Rizespor,Sivasspor,2,1,H,0,0,D,11,15,5,2,15,11,1,12,2,2,0,0
14,T1,25/08/2019,17:15,Trabzonspor,Yeni Malatyaspor,2,1,H,1,0,H,16,13,5,2,5,13,4,5,1,2,0,0
15,T1,25/08/2019,19:45,Antalyaspor,Denizlispor,0,2,A,0,1,A,19,8,3,2,13,14,5,3,1,3,0,0
16,T1,25/08/2019,19:45,Galatasaray,Konyaspor,1,1,D,0,0,D,18,16,6,4,8,11,2,5,1,3,1,0
17,T1,26/08/2019,18:00,Gaziantep,Genclerbirligi,4,1,H,2,0,H,15,12,7,4,17,8,4,6,1,1,0,2
18,T1,30/08/2019,18:30,Kasimpasa,Ankaragucu,0,1,A,0,1,A,27,4,7,2,10,26,10,1,1,5,0,0
19,T1,30/08/2019,18:30,Kayserispor,Galatasaray,2,3,A,1,0,H,8,20,4,10,21,13,1,4,8,6,3,1
20,T1,31/08/2019,17:15,Konyaspor,Antalyaspor,2,2,D,0,1,A,17,15,4,6,13,14,5,7,2,2,0,0
21,T1,31/08/2019,19:45,Besiktas,Rizespor,1,1,D,0,1,A,20,6,4,2,16,10,11,2,5,1,0,0
22,T1,31/08/2019,19:45,Goztep,Denizlispor,0,0,D,0,0,D,17,5,2,1,13,14,5,1,2,3,0,1
23,T1,01/09/2019,17:15,Genclerbirligi,Buyuksehyr,1,2,A,1,0,H,8,22,5,9,26,17,4,5,5,2,0,0
24,T1,01/09/2019,17:15,Sivasspor,Gaziantep,1,1,D,0,1,A,22,11,5,4,14,19,7,5,3,4,0,0
